":START_ID",":END_ID",":TYPE"
"AUTH_1004_S","AUTH_1004_T","CITES_AUTHORITY"
"AUTH_2333_S","AUTH_2333_T","CITES_AUTHORITY"
"AUTH_2334_S","AUTH_2334_T","CITES_AUTHORITY"
"AUTH_2335_S","AUTH_2335_T","CITES_AUTHORITY"
"AUTH_2336_S","AUTH_2336_T","CITES_AUTHORITY"
"AUTH_2337_S","AUTH_2337_T","CITES_AUTHORITY"
"AUTH_2338_S","AUTH_2338_T","CITES_AUTHORITY"
"AUTH_2339_S","AUTH_2339_T","CITES_AUTHORITY"
"AUTH_2340_S","AUTH_2340_T","CITES_AUTHORITY"
"AUTH_2342_S","AUTH_2342_T","CITES_AUTHORITY"
"AUTH_2343_S","AUTH_2343_T","CITES_AUTHORITY"
"AUTH_2344_S","AUTH_2344_T","CITES_AUTHORITY"
"AUTH_2345_S","AUTH_2345_T","CITES_AUTHORITY"
"AUTH_2347_S","AUTH_2347_T","CITES_AUTHORITY"
"AUTH_2348_S","AUTH_2348_T","CITES_AUTHORITY"
"AUTH_2349_S","AUTH_2349_T","CITES_AUTHORITY"
"AUTH_2350_S","AUTH_2350_T","CITES_AUTHORITY"
"AUTH_2351_S","AUTH_2351_T","CITES_AUTHORITY"
"AUTH_2352_S","AUTH_2352_T","CITES_AUTHORITY"
"AUTH_2353_S","AUTH_2353_T","CITES_AUTHORITY"
"AUTH_2354_S","AUTH_2354_T","CITES_AUTHORITY"
"AUTH_2356_S","AUTH_2356_T","CITES_AUTHORITY"
"AUTH_2358_S","AUTH_2358_T","CITES_AUTHORITY"
"AUTH_2359_S","AUTH_2359_T","CITES_AUTHORITY"
"AUTH_2360_S","AUTH_2360_T","CITES_AUTHORITY"
"AUTH_2361_S","AUTH_2361_T","CITES_AUTHORITY"
"AUTH_2362_S","AUTH_2362_T","CITES_AUTHORITY"
"AUTH_2363_S","AUTH_2363_T","CITES_AUTHORITY"
"AUTH_2364_S","AUTH_2364_T","CITES_AUTHORITY"
"AUTH_2365_S","AUTH_2365_T","CITES_AUTHORITY"
"AUTH_2366_S","AUTH_2366_T","CITES_AUTHORITY"
"AUTH_2367_S","AUTH_2367_T","CITES_AUTHORITY"
"AUTH_2368_S","AUTH_2368_T","CITES_AUTHORITY"
"AUTH_2370_S","AUTH_2370_T","CITES_AUTHORITY"
"AUTH_2371_S","AUTH_2371_T","CITES_AUTHORITY"
"AUTH_2372_S","AUTH_2372_T","CITES_AUTHORITY"
"AUTH_2373_S","AUTH_2373_T","CITES_AUTHORITY"
"AUTH_2374_S","AUTH_2374_T","CITES_AUTHORITY"
"AUTH_2375_S","AUTH_2375_T","CITES_AUTHORITY"
"AUTH_2376_S","AUTH_2376_T","CITES_AUTHORITY"
"AUTH_2377_S","AUTH_2377_T","CITES_AUTHORITY"
"AUTH_2378_S","AUTH_2378_T","CITES_AUTHORITY"
"AUTH_2379_S","AUTH_2379_T","CITES_AUTHORITY"
"AUTH_2380_S","AUTH_2380_T","CITES_AUTHORITY"
"AUTH_2381_S","AUTH_2381_T","CITES_AUTHORITY"
"AUTH_2382_S","AUTH_2382_T","CITES_AUTHORITY"
"AUTH_2383_S","AUTH_2383_T","CITES_AUTHORITY"
"AUTH_2384_S","AUTH_2384_T","CITES_AUTHORITY"
"AUTH_2385_S","AUTH_2385_T","CITES_AUTHORITY"
"AUTH_2386_S","AUTH_2386_T","CITES_AUTHORITY"
"AUTH_2387_S","AUTH_2387_T","CITES_AUTHORITY"
"AUTH_2388_S","AUTH_2388_T","CITES_AUTHORITY"
"AUTH_2389_S","AUTH_2389_T","CITES_AUTHORITY"
"AUTH_2390_S","AUTH_2390_T","CITES_AUTHORITY"
"AUTH_4109_S","AUTH_4109_T","CITES_AUTHORITY"
"AUTH_959_S","AUTH_959_T","CITES_AUTHORITY"
"AUTH_993_S","AUTH_993_T","CITES_AUTHORITY"
"AUTH_3531_S","AUTH_3531_T","CITES_AUTHORITY"
"AUTH_3532_S","AUTH_3532_T","CITES_AUTHORITY"
"AUTH_3533_S","AUTH_3533_T","CITES_AUTHORITY"
"AUTH_3534_S","AUTH_3534_T","CITES_AUTHORITY"
"AUTH_3535_S","AUTH_3535_T","CITES_AUTHORITY"
"AUTH_3536_S","AUTH_3536_T","CITES_AUTHORITY"
"AUTH_3537_S","AUTH_3537_T","CITES_AUTHORITY"
"AUTH_3538_S","AUTH_3538_T","CITES_AUTHORITY"
"AUTH_3539_S","AUTH_3539_T","CITES_AUTHORITY"
"AUTH_3540_S","AUTH_3540_T","CITES_AUTHORITY"
"AUTH_3542_S","AUTH_3542_T","CITES_AUTHORITY"
