":START_ID",":END_ID",":TYPE"
"VIOL_11","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_14","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_17","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_20","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_23","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_26","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_29","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_32","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_35","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_69","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_72","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_75","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_78","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_81","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_82","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_84","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_85","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_87","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_88","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_104","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_108","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_112","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_119","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_138","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_141","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_144","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_148","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_150","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_152","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_153","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_154","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_155","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_156","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_158","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_160","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_161","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_162","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_163","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_164","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_166","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_168","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_169","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_170","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_171","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_172","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_174","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_176","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_177","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_178","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_179","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_180","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_182","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_184","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_185","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_186","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_187","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_188","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_190","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_192","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_193","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_194","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_195","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_196","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_198","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_200","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_201","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_202","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_203","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_209","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_240","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_244","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_245","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_268","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_271","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_296","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_297","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_307","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_308","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_309","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_311","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_312","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_322","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_323","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_324","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_325","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_326","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_327","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_328","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_329","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_330","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_331","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_332","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_333","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_335","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_337","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_339","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_340","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_341","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_342","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_343","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_344","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_345","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_346","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_347","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_348","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_360","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_396","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_397","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_398","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_399","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_400","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_435","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_447","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_465","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_466","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_467","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_478","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_481","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_482","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_495","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_496","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_497","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_498","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_512","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_513","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_514","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_515","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_516","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_517","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_518","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_519","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_520","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_521","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_522","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_523","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_616","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_623","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_624","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_626","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_627","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_628","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_630","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_631","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_632","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_633","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_635","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_636","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_637","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_638","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_640","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_641","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_642","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_643","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_645","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_657","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_658","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_659","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_660","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_661","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_664","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_665","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_666","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_667","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_668","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_671","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_672","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_673","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_674","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_675","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_678","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_679","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_680","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_681","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_682","JUDGE_MCNEILL","COMMITTED_BY"
"VIOL_685","JUDGE_MCNEILL","COMMITTED_BY"
