":START_ID",":END_ID",":TYPE"
"FILING_Emergency_TRO___Custody_Motion","CASE_2024_001507_DC","FILED_IN"
"FILING_Shady_Oaks_Housing_Complaint","CASE_2025_002760_CZ","FILED_IN"
"FILING_Motion_to_Disqualify_Judge_McNeill_(MCR_2.003)","CASE_2024_001507_DC","FILED_IN"
"FILING_Federal_§1983_Civil_Rights_Complaint","CASE_2024_001507_DC","FILED_IN"
"FILING_Michigan_Supreme_Court_Original_Action","CASE_COA_366810","FILED_IN"
"FILING_Judicial_Tenure_Commission_Complaint","CASE_JTC","FILED_IN"
"FILING_Motion_for_Custody_Modification","CASE_2024_001507_DC","FILED_IN"
"FILING_Motion_to_Terminate_PPO","CASE_2023_5907_PP","FILED_IN"
"FILING_Court_of_Appeals_Brief_on_Appeal","CASE_COA_366810","FILED_IN"
"FILING_Court_of_Appeals_Emergency_Motion","CASE_COA_366810","FILED_IN"
"FILING_Omnibus_Motion_to_Vacate","CASE_2024_001507_DC","FILED_IN"
"FILING_MSC_Bypass_Application","CASE_COA_366810","FILED_IN"
"FILING_Amended_1983_Berry_Conspiracy","CASE_FEDERAL","FILED_IN"
"FILING_MCR_2.003_Disqualification_v2","CASE_JTC","FILED_IN"
"FILING_PPO_Termination_Motion","CASE_2023_5907_PP","FILED_IN"
"FILING_Custody_Modification_Motion","CASE_2024_001507_DC","FILED_IN"
"FILING_JTC_Complaint_McNeill","CASE_JTC","FILED_IN"
