":START_ID",":END_ID",":TYPE"
"CASE_2024_001507_DC","PARTY_PIGORS","INVOLVES_PARTY"
"CASE_2024_001507_DC","PARTY_WATSON","INVOLVES_PARTY"
"CASE_2024_001507_DC","PARTY_LDW","INVOLVES_PARTY"
"CASE_2025_002760_CZ","PARTY_PIGORS","INVOLVES_PARTY"
"CASE_2023_5907_PP","PARTY_PIGORS","INVOLVES_PARTY"
"CASE_2023_5907_PP","PARTY_WATSON","INVOLVES_PARTY"
"CASE_2023_5907_PP","PARTY_LDW","INVOLVES_PARTY"
"CASE_JTC","PARTY_PIGORS","INVOLVES_PARTY"
"CASE_COA_366810","PARTY_PIGORS","INVOLVES_PARTY"
"CASE_FEDERAL","PARTY_PIGORS","INVOLVES_PARTY"
