":START_ID",":END_ID",":TYPE"
"EVT_1023","EVT_577","NEXT_EVENT"
"EVT_577","EVT_1181","NEXT_EVENT"
"EVT_1181","EVT_1024","NEXT_EVENT"
"EVT_1024","EVT_1026","NEXT_EVENT"
"EVT_1026","EVT_1025","NEXT_EVENT"
"EVT_1025","EVT_1028","NEXT_EVENT"
"EVT_1028","EVT_1027","NEXT_EVENT"
"EVT_1027","EVT_1029","NEXT_EVENT"
"EVT_1029","EVT_1030","NEXT_EVENT"
"EVT_1030","EVT_1031","NEXT_EVENT"
"EVT_1031","EVT_1032","NEXT_EVENT"
"EVT_1032","EVT_1033","NEXT_EVENT"
"EVT_1033","EVT_1035","NEXT_EVENT"
"EVT_1035","EVT_1034","NEXT_EVENT"
"EVT_1034","EVT_1182","NEXT_EVENT"
"EVT_1182","EVT_166","NEXT_EVENT"
"EVT_166","EVT_1438","NEXT_EVENT"
"EVT_1438","EVT_1439","NEXT_EVENT"
"EVT_1439","EVT_31","NEXT_EVENT"
"EVT_31","EVT_32","NEXT_EVENT"
"EVT_32","EVT_57","NEXT_EVENT"
"EVT_57","EVT_58","NEXT_EVENT"
"EVT_58","EVT_59","NEXT_EVENT"
"EVT_59","EVT_62","NEXT_EVENT"
"EVT_62","EVT_60","NEXT_EVENT"
"EVT_60","EVT_61","NEXT_EVENT"
"EVT_61","EVT_301","NEXT_EVENT"
"EVT_301","EVT_104","NEXT_EVENT"
"EVT_104","EVT_105","NEXT_EVENT"
"EVT_105","EVT_423","NEXT_EVENT"
"EVT_423","EVT_1341","NEXT_EVENT"
"EVT_1341","EVT_1347","NEXT_EVENT"
"EVT_1347","EVT_1349","NEXT_EVENT"
"EVT_1349","EVT_1357","NEXT_EVENT"
"EVT_1357","EVT_1359","NEXT_EVENT"
"EVT_1359","EVT_1362","NEXT_EVENT"
"EVT_1362","EVT_1364","NEXT_EVENT"
"EVT_1364","EVT_1367","NEXT_EVENT"
"EVT_1367","EVT_1369","NEXT_EVENT"
"EVT_1369","EVT_1383","NEXT_EVENT"
"EVT_1383","EVT_1388","NEXT_EVENT"
"EVT_1388","EVT_1390","NEXT_EVENT"
"EVT_1390","EVT_1391","NEXT_EVENT"
"EVT_1391","EVT_1392","NEXT_EVENT"
"EVT_1392","EVT_1393","NEXT_EVENT"
"EVT_1393","EVT_1394","NEXT_EVENT"
"EVT_1394","EVT_1417","NEXT_EVENT"
"EVT_1417","EVT_1418","NEXT_EVENT"
"EVT_1418","EVT_1419","NEXT_EVENT"
"EVT_1419","EVT_1420","NEXT_EVENT"
"EVT_1420","EVT_1421","NEXT_EVENT"
"EVT_1421","EVT_1109","NEXT_EVENT"
"EVT_1109","EVT_1111","NEXT_EVENT"
"EVT_1111","EVT_1431","NEXT_EVENT"
"EVT_1431","EVT_1273","NEXT_EVENT"
"EVT_1273","EVT_421","NEXT_EVENT"
"EVT_421","EVT_56","NEXT_EVENT"
"EVT_56","EVT_106","NEXT_EVENT"
"EVT_106","EVT_422","NEXT_EVENT"
"EVT_422","EVT_164","NEXT_EVENT"
"EVT_164","EVT_300","NEXT_EVENT"
"EVT_300","EVT_302","NEXT_EVENT"
"EVT_302","EVT_1342","NEXT_EVENT"
"EVT_1342","EVT_1348","NEXT_EVENT"
"EVT_1348","EVT_1358","NEXT_EVENT"
"EVT_1358","EVT_1363","NEXT_EVENT"
"EVT_1363","EVT_1368","NEXT_EVENT"
"EVT_1368","EVT_522","NEXT_EVENT"
"EVT_522","EVT_36","NEXT_EVENT"
"EVT_36","EVT_190","NEXT_EVENT"
"EVT_190","EVT_192","NEXT_EVENT"
"EVT_192","EVT_304","NEXT_EVENT"
"EVT_304","EVT_324","NEXT_EVENT"
"EVT_324","EVT_1275","NEXT_EVENT"
"EVT_1275","EVT_221","NEXT_EVENT"
"EVT_221","EVT_222","NEXT_EVENT"
"EVT_222","EVT_1427","NEXT_EVENT"
"EVT_1427","EVT_1428","NEXT_EVENT"
"EVT_1428","EVT_932","NEXT_EVENT"
