":START_ID",":END_ID",":TYPE"
"EVT_1","CASE_JTC","OCCURRED_IN"
"EVT_2","CASE_JTC","OCCURRED_IN"
"EVT_3","CASE_JTC","OCCURRED_IN"
"EVT_4","CASE_JTC","OCCURRED_IN"
"EVT_5","CASE_JTC","OCCURRED_IN"
"EVT_6","CASE_JTC","OCCURRED_IN"
"EVT_7","CASE_JTC","OCCURRED_IN"
"EVT_8","CASE_JTC","OCCURRED_IN"
"EVT_9","CASE_JTC","OCCURRED_IN"
"EVT_10","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_11","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_12","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_13","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_14","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_15","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_16","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_17","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_18","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_19","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_20","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_21","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_22","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_23","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_24","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_25","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_26","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_27","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_28","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_29","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_30","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_31","CASE_2024_001507_DC","OCCURRED_IN"
"EVT_32","CASE_2024_001507_DC","OCCURRED_IN"
"EVT_33","CASE_2024_001507_DC","OCCURRED_IN"
"EVT_34","CASE_2025_002760_CZ","OCCURRED_IN"
"EVT_35","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_36","CASE_2024_001507_DC","OCCURRED_IN"
"EVT_37","CASE_2025_002760_CZ","OCCURRED_IN"
"EVT_38","CASE_2025_002760_CZ","OCCURRED_IN"
"EVT_39","CASE_2025_002760_CZ","OCCURRED_IN"
"EVT_40","CASE_2025_002760_CZ","OCCURRED_IN"
"EVT_41","CASE_JTC","OCCURRED_IN"
"EVT_42","CASE_2024_001507_DC","OCCURRED_IN"
"EVT_43","CASE_2024_001507_DC","OCCURRED_IN"
"EVT_44","CASE_JTC","OCCURRED_IN"
"EVT_45","CASE_2024_001507_DC","OCCURRED_IN"
"EVT_46","CASE_2024_001507_DC","OCCURRED_IN"
"EVT_47","CASE_JTC","OCCURRED_IN"
"EVT_48","CASE_2023_5907_PP","OCCURRED_IN"
"EVT_49","CASE_COA_366810","OCCURRED_IN"
"EVT_50","CASE_COA_366810","OCCURRED_IN"
"EVT_51","CASE_JTC","OCCURRED_IN"
"EVT_52","CASE_JTC","OCCURRED_IN"
"EVT_53","CASE_JTC","OCCURRED_IN"
"EVT_54","CASE_JTC","OCCURRED_IN"
"EVT_55","CASE_JTC","OCCURRED_IN"
"EVT_56","CASE_2024_001507_DC","OCCURRED_IN"
"EVT_57","CASE_2024_001507_DC","OCCURRED_IN"
"EVT_58","CASE_2024_001507_DC","OCCURRED_IN"
"EVT_59","CASE_2024_001507_DC","OCCURRED_IN"
"EVT_60","CASE_2024_001507_DC","OCCURRED_IN"
"EVT_61","CASE_2024_001507_DC","OCCURRED_IN"
"EVT_62","CASE_2024_001507_DC","OCCURRED_IN"
