":ID",":LABEL","factor","favors_party","lane","relevance_score"
"BIF_8104","BestInterestFactor","a","neutral","","10.0"
"BIF_8116","BestInterestFactor","c","andrew","","10.0"
"BIF_22266","BestInterestFactor","k","andrew","","10.0"
"BIF_22272","BestInterestFactor","k","andrew","","10.0"
"BIF_22278","BestInterestFactor","k","andrew","","10.0"
"BIF_22284","BestInterestFactor","k","andrew","","10.0"
"BIF_22291","BestInterestFactor","k","andrew","","10.0"
"BIF_22307","BestInterestFactor","k","andrew","","10.0"
"BIF_22313","BestInterestFactor","k","andrew","","10.0"
"BIF_22319","BestInterestFactor","k","andrew","","10.0"
"BIF_22325","BestInterestFactor","k","andrew","","10.0"
"BIF_26196","BestInterestFactor","c","andrew","","10.0"
"BIF_26204","BestInterestFactor","e","neutral","","10.0"
"BIF_26636","BestInterestFactor","k","andrew","","10.0"
"BIF_26642","BestInterestFactor","k","andrew","","10.0"
"BIF_26648","BestInterestFactor","k","andrew","","10.0"
"BIF_26654","BestInterestFactor","k","andrew","","10.0"
"BIF_27538","BestInterestFactor","k","andrew","","10.0"
"BIF_27956","BestInterestFactor","c","andrew","","10.0"
"BIF_28112","BestInterestFactor","c","andrew","","10.0"
"BIF_29498","BestInterestFactor","e","andrew","","10.0"
"BIF_29693","BestInterestFactor","e","andrew","","10.0"
"BIF_32523","BestInterestFactor","c","andrew","","10.0"
"BIF_37534","BestInterestFactor","j","andrew","","10.0"
"BIF_37539","BestInterestFactor","j","andrew","","10.0"
"BIF_37545","BestInterestFactor","j","andrew","","10.0"
"BIF_37548","BestInterestFactor","j","andrew","","10.0"
"BIF_37550","BestInterestFactor","j","andrew","","10.0"
"BIF_37552","BestInterestFactor","j","andrew","","10.0"
"BIF_37556","BestInterestFactor","j","andrew","","10.0"
"BIF_37557","BestInterestFactor","j","andrew","","10.0"
"BIF_37559","BestInterestFactor","j","andrew","","10.0"
"BIF_37560","BestInterestFactor","j","andrew","","10.0"
"BIF_37562","BestInterestFactor","j","andrew","","10.0"
"BIF_37565","BestInterestFactor","j","andrew","","10.0"
"BIF_37569","BestInterestFactor","j","andrew","","10.0"
"BIF_37573","BestInterestFactor","j","andrew","","10.0"
"BIF_37577","BestInterestFactor","j","andrew","","10.0"
"BIF_37579","BestInterestFactor","j","andrew","","10.0"
"BIF_37583","BestInterestFactor","j","andrew","","10.0"
"BIF_37585","BestInterestFactor","j","andrew","","10.0"
"BIF_37587","BestInterestFactor","j","andrew","","10.0"
"BIF_37591","BestInterestFactor","j","andrew","","10.0"
"BIF_37594","BestInterestFactor","j","andrew","","10.0"
"BIF_37598","BestInterestFactor","j","andrew","","10.0"
"BIF_37601","BestInterestFactor","j","andrew","","10.0"
"BIF_37605","BestInterestFactor","j","andrew","","10.0"
"BIF_37610","BestInterestFactor","j","andrew","","10.0"
"BIF_37613","BestInterestFactor","j","andrew","","10.0"
"BIF_37614","BestInterestFactor","j","andrew","","10.0"
"BIF_37616","BestInterestFactor","j","andrew","","10.0"
"BIF_37619","BestInterestFactor","j","andrew","","10.0"
"BIF_37622","BestInterestFactor","j","andrew","","10.0"
"BIF_37625","BestInterestFactor","j","andrew","","10.0"
"BIF_37628","BestInterestFactor","j","andrew","","10.0"
"BIF_37631","BestInterestFactor","j","andrew","","10.0"
"BIF_37633","BestInterestFactor","j","andrew","","10.0"
"BIF_37635","BestInterestFactor","j","andrew","","10.0"
"BIF_37638","BestInterestFactor","j","andrew","","10.0"
"BIF_37641","BestInterestFactor","j","andrew","","10.0"
"BIF_37644","BestInterestFactor","j","andrew","","10.0"
"BIF_37647","BestInterestFactor","j","andrew","","10.0"
"BIF_37649","BestInterestFactor","j","andrew","","10.0"
"BIF_37653","BestInterestFactor","j","andrew","","10.0"
"BIF_37655","BestInterestFactor","j","andrew","","10.0"
"BIF_37659","BestInterestFactor","j","andrew","","10.0"
"BIF_37663","BestInterestFactor","j","andrew","","10.0"
"BIF_37667","BestInterestFactor","j","andrew","","10.0"
"BIF_37671","BestInterestFactor","j","andrew","","10.0"
"BIF_37675","BestInterestFactor","j","andrew","","10.0"
"BIF_37679","BestInterestFactor","j","andrew","","10.0"
"BIF_37683","BestInterestFactor","j","andrew","","10.0"
"BIF_37687","BestInterestFactor","j","andrew","","10.0"
"BIF_37689","BestInterestFactor","j","andrew","","10.0"
"BIF_37691","BestInterestFactor","j","andrew","","10.0"
"BIF_37695","BestInterestFactor","j","andrew","","10.0"
"BIF_37700","BestInterestFactor","j","andrew","","10.0"
"BIF_37705","BestInterestFactor","j","andrew","","10.0"
"BIF_37710","BestInterestFactor","j","andrew","","10.0"
"BIF_37715","BestInterestFactor","j","andrew","","10.0"
"BIF_37719","BestInterestFactor","j","andrew","","10.0"
"BIF_37723","BestInterestFactor","j","andrew","","10.0"
"BIF_37727","BestInterestFactor","j","andrew","","10.0"
"BIF_37731","BestInterestFactor","j","andrew","","10.0"
"BIF_37735","BestInterestFactor","j","andrew","","10.0"
"BIF_37739","BestInterestFactor","j","andrew","","10.0"
"BIF_37743","BestInterestFactor","j","andrew","","10.0"
"BIF_37747","BestInterestFactor","j","andrew","","10.0"
"BIF_37751","BestInterestFactor","j","andrew","","10.0"
"BIF_37755","BestInterestFactor","j","andrew","","10.0"
"BIF_37759","BestInterestFactor","j","andrew","","10.0"
