":ID",":LABEL","name","bates_number","lane","source"
"EXHB_1","Exhibit","A","PIGORS-F01-0001","","judicial_bias_chronology"
"EXHB_2","Exhibit","A","PIGORS-F01-0002","","judicial_bias_chronology"
"EXHB_3","Exhibit","A","PIGORS-F01-0003","","judicial_bias_chronology"
"EXHB_4","Exhibit","A","PIGORS-F01-0004","","judicial_bias_chronology"
"EXHB_5","Exhibit","A","PIGORS-F01-0005","","judicial_bias_chronology"
"EXHB_6","Exhibit","A","PIGORS-F01-0006","","judicial_bias_chronology"
"EXHB_7","Exhibit","A","PIGORS-F01-0007","","judicial_bias_chronology"
"EXHB_8","Exhibit","A","PIGORS-F01-0008","","judicial_bias_chronology"
"EXHB_9","Exhibit","A","PIGORS-F01-0009","","judicial_bias_chronology"
"EXHB_10","Exhibit","A","PIGORS-F01-0010","","judicial_bias_chronology"
"EXHB_11","Exhibit","A","PIGORS-F01-0011","","judicial_bias_chronology"
"EXHB_12","Exhibit","A","PIGORS-F01-0012","","judicial_bias_chronology"
"EXHB_13","Exhibit","A","PIGORS-F01-0013","","judicial_bias_chronology"
"EXHB_14","Exhibit","A","PIGORS-F01-0014","","judicial_bias_chronology"
"EXHB_15","Exhibit","A","PIGORS-F01-0015","","judicial_bias_chronology"
"EXHB_16","Exhibit","A","PIGORS-F01-0016","","judicial_bias_chronology"
"EXHB_17","Exhibit","A","PIGORS-F01-0017","","judicial_bias_chronology"
"EXHB_18","Exhibit","A","PIGORS-F01-0018","","judicial_bias_chronology"
"EXHB_19","Exhibit","A","PIGORS-F01-0019","","judicial_bias_chronology"
"EXHB_20","Exhibit","A","PIGORS-F01-0020","","judicial_bias_chronology"
"EXHB_21","Exhibit","A","PIGORS-F01-0021","","judicial_bias_chronology"
"EXHB_22","Exhibit","A","PIGORS-F01-0022","","judicial_bias_chronology"
"EXHB_23","Exhibit","A","PIGORS-F01-0023","","judicial_bias_chronology"
"EXHB_24","Exhibit","A","PIGORS-F01-0024","","judicial_bias_chronology"
"EXHB_25","Exhibit","A","PIGORS-F01-0025","","judicial_bias_chronology"
"EXHB_26","Exhibit","A","PIGORS-F01-0026","","judicial_bias_chronology"
"EXHB_27","Exhibit","A","PIGORS-F01-0027","","judicial_bias_chronology"
"EXHB_28","Exhibit","A","PIGORS-F01-0028","","judicial_bias_chronology"
"EXHB_29","Exhibit","A","PIGORS-F01-0029","","judicial_bias_chronology"
"EXHB_30","Exhibit","A","PIGORS-F01-0030","","judicial_bias_chronology"
"EXHB_31","Exhibit","A","PIGORS-F01-0031","","judicial_bias_chronology"
"EXHB_32","Exhibit","A","PIGORS-F01-0032","","judicial_bias_chronology"
"EXHB_33","Exhibit","A","PIGORS-F01-0033","","judicial_bias_chronology"
"EXHB_34","Exhibit","A","PIGORS-F01-0034","","judicial_bias_chronology"
"EXHB_35","Exhibit","A","PIGORS-F01-0035","","judicial_bias_chronology"
"EXHB_36","Exhibit","A","PIGORS-F01-0036","","judicial_bias_chronology"
"EXHB_37","Exhibit","A","PIGORS-F01-0037","","judicial_bias_chronology"
"EXHB_38","Exhibit","A","PIGORS-F01-0038","","judicial_bias_chronology"
"EXHB_39","Exhibit","A","PIGORS-F01-0039","","judicial_bias_chronology"
"EXHB_40","Exhibit","A","PIGORS-F01-0040","","judicial_bias_chronology"
"EXHB_41","Exhibit","A","PIGORS-F01-0041","","judicial_bias_chronology"
"EXHB_42","Exhibit","A","PIGORS-F01-0042","","judicial_bias_chronology"
"EXHB_43","Exhibit","A","PIGORS-F01-0043","","judicial_bias_chronology"
"EXHB_44","Exhibit","A","PIGORS-F01-0044","","judicial_bias_chronology"
