":ID",":LABEL","name","status","readiness_score","lane","placeholder_count","exhibit_count","authority_count"
"FILING_Emergency_TRO___Custody_Motion","Filing","Emergency TRO / Custody Motion","ingested","75.0","A","0","12","0"
"FILING_Shady_Oaks_Housing_Complaint","Filing","Shady Oaks Housing Complaint","ingested","75.0","B","0","11","0"
"FILING_Motion_to_Disqualify_Judge_McNeill_(MCR_2.003)","Filing","Motion to Disqualify Judge McNeill (MCR 2.003)","ingested","75.0","A","0","13","0"
"FILING_Federal_§1983_Civil_Rights_Complaint","Filing","Federal §1983 Civil Rights Complaint","ingested","75.0","A","0","12","0"
"FILING_Michigan_Supreme_Court_Original_Action","Filing","Michigan Supreme Court Original Action","ingested","75.0","F","0","12","0"
"FILING_Judicial_Tenure_Commission_Complaint","Filing","Judicial Tenure Commission Complaint","ingested","75.0","E","0","11","0"
"FILING_Motion_for_Custody_Modification","Filing","Motion for Custody Modification","ingested","75.0","A","0","13","0"
"FILING_Motion_to_Terminate_PPO","Filing","Motion to Terminate PPO","ingested","75.0","D","0","12","0"
"FILING_Court_of_Appeals_Brief_on_Appeal","Filing","Court of Appeals Brief on Appeal","ingested","75.0","F","0","11","0"
"FILING_Court_of_Appeals_Emergency_Motion","Filing","Court of Appeals Emergency Motion","ingested","75.0","F","0","11","0"
"FILING_Omnibus_Motion_to_Vacate","Filing","Omnibus Motion to Vacate","final_review","95.0","A","0","38","0"
"FILING_MSC_Bypass_Application","Filing","MSC Bypass Application","complete","90.0","F","0","17","0"
"FILING_Amended_1983_Berry_Conspiracy","Filing","Amended 1983 Berry Conspiracy","draft","80.0","C","0","25","0"
"FILING_MCR_2.003_Disqualification_v2","Filing","MCR 2.003 Disqualification v2","draft","82.0","E","0","39","0"
"FILING_PPO_Termination_Motion","Filing","PPO Termination Motion","draft","78.0","D","0","0","0"
"FILING_Custody_Modification_Motion","Filing","Custody Modification Motion","draft","77.0","A","0","0","0"
"FILING_JTC_Complaint_McNeill","Filing","JTC Complaint McNeill","draft","80.0","E","0","6","0"
