":ID",":LABEL","citation","type","lane"
"RULE_1","Rule","MCR","MCR","All"
"RULE_2","Rule","MCR","MCR","F1-F10"
"RULE_3","Rule","MCR","MCR","F1-F10"
"RULE_4","Rule","MCR","MCR","F1-F10"
"RULE_5","Rule","MCR","MCR","F1-F10"
"RULE_6","Rule","MCR","MCR","F1-F10"
"RULE_7","Rule","MCR","MCR","F1-F10"
"RULE_8","Rule","MCR","MCR","F1-F10"
"RULE_9","Rule","MCR","MCR","F6-F7"
"RULE_10","Rule","MCR","MCR","F1"
"RULE_11","Rule","MCR","MCR","F1"
"RULE_12","Rule","MCR","MCR","F1"
"RULE_13","Rule","MCR","MCR","F2"
"RULE_14","Rule","MCR","MCR","F1-F2"
"RULE_15","Rule","MCR","MCR","F1"
"RULE_16","Rule","MCR","MCR","F9"
"RULE_17","Rule","MCR","MCR","F9"
"RULE_18","Rule","MCR","MCR","F10"
"RULE_19","Rule","MCR","MCR","F"
"RULE_20","Rule","MCR","MCR","F"
"RULE_21","Rule","MCR","MCR","F10"
"RULE_22","Rule","MCR","MCR","F10"
"RULE_23","Rule","MCR","MCR","F"
"RULE_24","Rule","MCR","MCR","F10"
"RULE_25","Rule","MCR","MCR","F1-F10"
"RULE_26","Rule","MCR","MCR","F1-F10"
"RULE_27","Rule","MCR","MCR","F1-F10"
"RULE_28","Rule","MCR","MCR","F1-F10"
"RULE_29","Rule","MCR","MCR","F1-F10"
"RULE_30","Rule","MCR","MCR","F1-F10"
"RULE_31","Rule","MCR","MCR","A,B,D,E,F"
"RULE_32","Rule","MCR","MCR","A,B,D,E,F"
"RULE_33","Rule","MCR","MCR","A,B,D,E,F"
"RULE_34","Rule","MCR","MCR","A,B,D,E,F"
"RULE_35","Rule","MCR","MCR","A,B,D,E,F"
"RULE_36","Rule","MCR","MCR","A,B,D,E,F"
"RULE_37","Rule","MCR","MCR","A,B,D,E,F"
"RULE_38","Rule","MCR","MCR",""
"RULE_39","Rule","MCR","MCR",""
"RULE_40","Rule","MCR","MCR","All"
"RULE_41","Rule","MCR","MCR","All"
"RULE_42","Rule","MCR","MCR","All"
"RULE_43","Rule","MCR","MCR","All"
"RULE_44","Rule","MCR","MCR","All"
"RULE_45","Rule","MCR","MCR","All"
"RULE_46","Rule","MCR","MCR","All"
"RULE_47","Rule","MCR","MCR","All"
"RULE_48","Rule","MCR","MCR","All"
"RULE_49","Rule","MCR","MCR","All"
"RULE_50","Rule","MCR","MCR","All"
"RULE_51","Rule","MCR","MCR","All"
"RULE_52","Rule","MCR","MCR","A,B,D"
"RULE_53","Rule","MCR","MCR","A,B,D"
