":ID",":LABEL","description","rule_reference","date"
"VIOL_1","Violation","ex_parte","",""
"VIOL_2","Violation","unclassified","",""
"VIOL_3","Violation","unclassified","",""
"VIOL_4","Violation","unclassified","",""
"VIOL_5","Violation","ex_parte","",""
"VIOL_6","Violation","ex_parte","",""
"VIOL_7","Violation","ex_parte","",""
"VIOL_8","Violation","ex_parte","",""
"VIOL_9","Violation","ex_parte","",""
"VIOL_10","Violation","ex_parte","",""
"VIOL_11","Violation","bias","MCR 2.003",""
"VIOL_12","Violation","ex_parte","",""
"VIOL_13","Violation","ex_parte","",""
"VIOL_14","Violation","bias","MCR 2.003",""
"VIOL_15","Violation","ex_parte","",""
"VIOL_16","Violation","ex_parte","",""
"VIOL_17","Violation","bias","MCR 2.003",""
"VIOL_18","Violation","ex_parte","",""
"VIOL_19","Violation","ex_parte","",""
"VIOL_20","Violation","bias","MCR 2.003",""
"VIOL_21","Violation","ex_parte","",""
"VIOL_22","Violation","ex_parte","",""
"VIOL_23","Violation","bias","MCR 2.003",""
"VIOL_24","Violation","ex_parte","",""
"VIOL_25","Violation","ex_parte","",""
"VIOL_26","Violation","bias","MCR 2.003",""
"VIOL_27","Violation","ex_parte","",""
"VIOL_28","Violation","ex_parte","",""
"VIOL_29","Violation","bias","MCR 2.003",""
"VIOL_30","Violation","ex_parte","",""
"VIOL_31","Violation","ex_parte","",""
"VIOL_32","Violation","bias","MCR 2.003",""
"VIOL_33","Violation","ex_parte","",""
"VIOL_34","Violation","ex_parte","",""
"VIOL_35","Violation","bias","MCR 2.003",""
"VIOL_36","Violation","ex_parte","",""
"VIOL_37","Violation","ex_parte","",""
"VIOL_38","Violation","ex_parte","",""
"VIOL_39","Violation","ex_parte","",""
"VIOL_40","Violation","ex_parte","",""
"VIOL_41","Violation","ex_parte","",""
"VIOL_42","Violation","ex_parte","",""
"VIOL_43","Violation","ex_parte","",""
"VIOL_44","Violation","ex_parte","",""
"VIOL_45","Violation","ex_parte","",""
"VIOL_46","Violation","ex_parte","",""
"VIOL_47","Violation","ex_parte","",""
"VIOL_48","Violation","ex_parte","",""
"VIOL_49","Violation","ex_parte","",""
"VIOL_50","Violation","ex_parte","",""
"VIOL_51","Violation","ex_parte","",""
"VIOL_52","Violation","unclassified","",""
"VIOL_53","Violation","unclassified","",""
"VIOL_54","Violation","unclassified","",""
"VIOL_55","Violation","ex_parte","","2024-12-27"
"VIOL_56","Violation","ex_parte","","2024-12-27"
"VIOL_57","Violation","ex_parte","","2025-05-01"
"VIOL_58","Violation","ex_parte","","2025-05-01"
"VIOL_59","Violation","ex_parte","","2025-05-01"
"VIOL_60","Violation","ex_parte","","2025-05-01"
"VIOL_61","Violation","ex_parte","","2024-10-16"
"VIOL_62","Violation","ex_parte","","2024-10-16"
"VIOL_63","Violation","ex_parte","","2025-03-10"
"VIOL_64","Violation","ex_parte","","2024-04-26"
"VIOL_65","Violation","ex_parte","","2024-04-26"
"VIOL_66","Violation","ex_parte","","2024-04-26"
"VIOL_67","Violation","ex_parte","",""
"VIOL_68","Violation","ex_parte","",""
"VIOL_69","Violation","bias","MCR 2.003",""
"VIOL_70","Violation","ex_parte","",""
"VIOL_71","Violation","ex_parte","",""
"VIOL_72","Violation","bias","MCR 2.003",""
"VIOL_73","Violation","ex_parte","",""
"VIOL_74","Violation","ex_parte","",""
"VIOL_75","Violation","bias","MCR 2.003",""
"VIOL_76","Violation","ex_parte","",""
"VIOL_77","Violation","ex_parte","",""
"VIOL_78","Violation","bias","MCR 2.003",""
"VIOL_79","Violation","ex_parte","MCR 8.110(C)",""
"VIOL_80","Violation","ex_parte","MCR 8.110(C)",""
"VIOL_81","Violation","bias","MCR 2.003(C)",""
"VIOL_82","Violation","bias","MCR 2.003(C)",""
"VIOL_83","Violation","ex_parte","","2025-09-05"
"VIOL_84","Violation","bias","MCR 2.003(C)",""
"VIOL_85","Violation","bias","MCR 2.003(C)",""
"VIOL_86","Violation","ex_parte","","2025-09-05"
"VIOL_87","Violation","bias","MCR 2.003(C)",""
"VIOL_88","Violation","bias","MCR 2.003(C)",""
"VIOL_89","Violation","ex_parte","","2025-09-05"
"VIOL_90","Violation","ex_parte","",""
"VIOL_91","Violation","ex_parte","","2022-11-09"
"VIOL_92","Violation","ex_parte","","2025-08-08"
"VIOL_93","Violation","ex_parte","",""
"VIOL_94","Violation","ex_parte","",""
"VIOL_95","Violation","unclassified","",""
"VIOL_96","Violation","ex_parte","",""
"VIOL_97","Violation","ex_parte","","2024-05-14"
"VIOL_98","Violation","ex_parte","","2024-05-14"
"VIOL_99","Violation","ex_parte","","2024-05-14"
"VIOL_100","Violation","ex_parte","","2024-05-14"
"VIOL_101","Violation","ex_parte","",""
"VIOL_102","Violation","ex_parte","",""
