authority_group,authority,url,relevance
MCR,Michigan Court Rules hub (current rules),https://www.courts.michigan.gov/rules-administrative-orders-and-jury-instructions/current-rules-and-jury-instructions/michigan-court-rules/,Master rule rail
MCR Ch2,Michigan Court Rules Chapter 2,https://www.courts.michigan.gov/siteassets/rules-instructions-administrative-orders/michigan-court-rules/court-rules-book-ch-2-responsive-html5.zip/index.html,Civil procedure / disqualification / service
MCR Ch3,Michigan Court Rules Chapter 3,https://www.courts.michigan.gov/siteassets/rules-instructions-administrative-orders/michigan-court-rules/court-rules-book-ch-3-responsive-html5.zip/index.html,PPO + domestic/family special proceedings
MCR Ch7,Michigan Court Rules Chapter 7,https://www.courts.michigan.gov/siteassets/rules-instructions-administrative-orders/michigan-court-rules/court-rules-book-ch-7-responsive-html5.zip/index.html,COA/MSC rails
MCR Ch9,Michigan Court Rules Chapter 9,https://www.courts.michigan.gov/siteassets/rules-instructions-administrative-orders/michigan-court-rules/court-rules-book-ch-9-responsive-html5.zip/index.html,JTC rails
MJI,Judicial Disqualification in Michigan (MJI benchbook),https://www.courts.michigan.gov/4ab003/siteassets/publications/benchbooks/jdq/jdq.pdf,Bias/disqualification benchbook
MCL,MCL 722.27a,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-722-27a,Parenting time statute
MCL,MCL 600.2950,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-600-2950,PPO statute
MCL,MCL 552.507,https://legislature.mi.gov/Laws/MCL?objectName=MCL-552-507,Referee/de novo hearing
MCSF,Child Support Formula page,https://www.courts.michigan.gov/Administration/SCAO/OfficesPrograms/FOC/Pages/Child-Support-Formula.aspx,Support formula
MCSF,2025 MCSF Manual,https://www.courts.michigan.gov/4a7a53/siteassets/court-administration/standardsguidelines/foc/2025mcsf.pdf,Current support manual
JTC,How to File a Grievance,https://jtc.courts.mi.gov/file_a_grievance/index.php,JTC entry point
JTC,Request for Investigation page,https://jtc.courts.mi.gov/file_a_grievance/how_to_file_a_grievance.php,RFI form/instructions
