ym,primary_lane,rows,top_signal,avg_signal
2021-02,MEEK2,7,132.0,103.61714285714285
2021-02,MEEK3,1,43.0,43.0
2022-11,MEEK2,1586,149.6,60.53214375788146
2022-11,MEEK3,847,142.8,68.29110979929162
2022-11,MEEK4,270,91.4,56.71585185185185
2023-05,MEEK2,15,112.2,66.99266666666666
2023-10,MEEK2,10,62.46,44.53
2023-10,MEEK3,10,97.2,59.674
2023-11,MEEK4,8,70.8,59.905
2023-12,MEEK2,34,162.6,79.44294117647058
2023-12,MEEK3,67,119.6,69.85850746268657
2023-12,MEEK4,1,57.8,57.8
2024-01,MEEK2,3,24.46,23.0
2024-01,MEEK3,13,119.6,77.35307692307691
2024-01,MEEK4,2,46.47,41.965
2024-03,MEEK2,96,131.4,48.444583333333334
2024-03,MEEK3,34,106.0,73.19941176470589
2024-04,MEEK2,107,138.2,62.60803738317757
2024-04,MEEK3,36,120.0,67.47416666666668
2024-04,MEEK4,1,46.14,46.14
2024-05,MEEK2,147,125.4,49.9765306122449
2024-05,MEEK3,2,27.88,27.869999999999997
2024-05,MEEK4,10,64.4,64.4
2024-06,MEEK2,102,121.4,52.8378431372549
2024-06,MEEK4,17,73.2,65.30588235294118
2024-07,MEEK2,169,141.2,65.39218934911243
2024-07,MEEK3,20,109.2,88.182
2024-07,MEEK4,46,65.8,48.14978260869565
2024-08,MEEK2,19,120.0,52.35894736842105
2024-08,MEEK4,1,50.37,50.37
2024-09,MEEK2,26,120.0,65.88000000000001
2024-09,MEEK3,32,117.0,70.05875
2024-10,MEEK2,129,118.6,48.90713178294573
2024-10,MEEK3,65,126.6,59.30553846153846
2024-10,MEEK4,46,76.6,54.74934782608696
2024-11,MEEK2,153,149.8,59.110065359477126
2024-11,MEEK3,85,135.0,73.95976470588235
2024-11,MEEK4,14,73.6,61.69357142857143
2024-12,MEEK2,6,108.2,46.31166666666667
2024-12,MEEK3,5,31.7,31.476
2025-01,MEEK2,69,129.6,58.38086956521739
2025-01,MEEK3,39,125.2,69.65692307692308
2025-01,MEEK4,3,46.14,28.2
2025-02,MEEK2,64,132.6,83.43375
2025-02,MEEK3,97,131.0,68.28742268041238
2025-02,MEEK4,108,73.2,50.41185185185186
2025-03,MEEK2,9,112.6,72.25333333333333
2025-03,MEEK3,33,113.6,73.04030303030302
2025-03,MEEK4,24,59.2,51.70583333333334
2025-04,MEEK2,12,108.2,37.7675
2025-04,MEEK3,46,119.6,78.0091304347826
2025-05,MEEK2,31,123.8,74.82451612903226
2025-05,MEEK3,43,129.0,68.95651162790698
2025-05,MEEK4,11,65.8,38.56727272727273
2025-06,MEEK2,5,67.92,30.994
2025-06,MEEK3,15,120.2,95.252
2025-07,MEEK2,10,117.2,76.637
2025-07,MEEK3,2,28.13,27.2
2025-07,MEEK4,1,32.17,32.17
2025-08,MEEK2,207,192.4,77.52309178743961
2025-08,MEEK3,7,76.6,37.62571428571429
2025-08,MEEK4,29,65.8,41.47758620689655
2025-09,MEEK2,478,134.4,72.09171548117155
2025-09,MEEK4,119,76.6,47.2381512605042
2025-10,MEEK2,21,129.6,72.61666666666667
2025-10,MEEK3,42,109.2,72.53595238095238
2025-10,MEEK4,8,63.6,46.11
2025-11,MEEK2,5,101.2,93.454
2025-11,MEEK3,6,102.2,62.156666666666666
2025-12,MEEK2,5,103.2,70.27000000000001
2025-12,MEEK3,23,118.0,71.01695652173913
2026-01,MEEK3,4,109.2,85.3225
2026-02,MEEK2,3364,192.4,53.667612960761
2026-02,MEEK3,1803,136.0,65.2659345535219
2026-02,MEEK4,1174,86.8,52.57384156729131
UNKNOWN,MEEK2,206,39.86,24.272087378640776
UNKNOWN,MEEK3,39,31.73,25.810769230769232
UNKNOWN,MEEK4,817,44.29,32.91086903304774
UNKNOWN,UNASSIGNED,201,1.0,1.0
