primary_lane,topic,count,top_signal
MEEK2,DUE_PROCESS_FINDINGS,7089,192.4
MEEK2,EXPARTE_USB_AUDIO,5194,192.4
MEEK2,MEDICATION_CONDITION,4321,192.4
MEEK2,SERVICE_NOTICE,4090,192.4
MEEK2,PPO,3496,192.4
MEEK2,PARENTING_TIME,2768,192.4
MEEK2,BIAS_RECUSAL_JTC,2699,192.4
MEEK2,HEALTHWEST_EVAL,2248,192.4
MEEK2,CONTEMPT_JAIL,1764,192.4
MEEK2,FOC_SUPPORT,869,162.6
MEEK2,RUSCO_EMAILS,413,123.0
MEEK2,MARTINI_EMAILS,375,123.0
MEEK2,MCNEILL,197,162.6
MEEK2,HACKLEY_LIBRARY_INCIDENT,62,101.4
MEEK3,DUE_PROCESS_FINDINGS,3416,142.8
MEEK3,PPO,3361,142.8
MEEK3,SERVICE_NOTICE,2977,142.8
MEEK3,CONTEMPT_JAIL,2922,142.8
MEEK3,MEDICATION_CONDITION,1372,142.8
MEEK3,BIAS_RECUSAL_JTC,1045,142.8
MEEK3,EXPARTE_USB_AUDIO,1041,142.8
MEEK3,HEALTHWEST_EVAL,137,142.8
MEEK3,MARTINI_EMAILS,71,135.0
MEEK3,RUSCO_EMAILS,64,135.0
MEEK3,MCNEILL,52,131.0
MEEK3,PARENTING_TIME,15,118.2
MEEK3,HACKLEY_LIBRARY_INCIDENT,4,57.01
MEEK4,BIAS_RECUSAL_JTC,2676,91.4
MEEK4,EXPARTE_USB_AUDIO,2657,91.4
MEEK4,DUE_PROCESS_FINDINGS,1803,91.4
MEEK4,RUSCO_EMAILS,1747,86.8
MEEK4,MARTINI_EMAILS,1724,86.8
MEEK4,SERVICE_NOTICE,1520,91.4
MEEK4,MEDICATION_CONDITION,672,91.4
MEEK4,PPO,498,91.4
MEEK4,HEALTHWEST_EVAL,439,91.4
MEEK4,MCNEILL,68,76.6
MEEK4,HACKLEY_LIBRARY_INCIDENT,60,77.6
MEEK4,PARENTING_TIME,21,61.79
MEEK4,CONTEMPT_JAIL,18,44.02
MEEK4,FOC_SUPPORT,5,33.71
