dataset,source_name,primary_lane,rows,top_signal,avg_signal
pack_new_mixed_all,20260223_2303_MEEK234_QUOTELOCK_PACK.zip,MEEK2,3292,192.4,84.3229070473876
pack_new_mixed_all,20260223_2303_MEEK234_QUOTELOCK_PACK.zip,MEEK3,2413,142.8,79.67925404061334
pack_new_mixed_all,20260223_2303_MEEK234_QUOTELOCK_PACK.zip,MEEK4,1321,91.4,57.504118092354275
pack_new_primary_all,96035745-eafb-42f8-81cf-4493f946e853.pdf,MEEK2,635,85.19,40.159795275590554
pack_new_primary_all,a0da751d-4b19-46f9-8e48-0272150ab69d.pdf,MEEK2,635,85.19,40.159795275590554
pack_new_primary_all,9991a107-bd89-4799-806a-312d492482b3.zip,MEEK2,571,124.6,36.141260945709284
pack_old_all,96035745-eafb-42f8-81cf-4493f946e853.pdf,MEEK2,356,38.6,20.32578651685393
pack_old_all,a0da751d-4b19-46f9-8e48-0272150ab69d.pdf,MEEK2,356,38.6,20.32578651685393
legacy_negative_all_724,,UNASSIGNED,201,1.0,1.0
pack_new_primary_all,9991a107-bd89-4799-806a-312d492482b3.zip,MEEK3,161,70.24,39.749378881987575
pack_new_primary_all,e63b9c48-5954-4dbc-b8e8-5b1bdc2a2005.zip,MEEK2,136,77.62,44.945073529411765
pack_old_all,96035745-eafb-42f8-81cf-4493f946e853.pdf,MEEK3,115,36.61,23.702
pack_old_all,a0da751d-4b19-46f9-8e48-0272150ab69d.pdf,MEEK3,115,36.61,23.702
pack_new_primary_all,96035745-eafb-42f8-81cf-4493f946e853.pdf,MEEK4,110,74.41,47.00236363636364
pack_new_primary_all,a0da751d-4b19-46f9-8e48-0272150ab69d.pdf,MEEK4,110,74.41,47.00236363636364
pack_new_primary_all,7a619538-45e5-4488-9eb4-e0d1894a06cc.md,MEEK2,89,88.0,49.781235955056175
pack_new_primary_all,9991a107-bd89-4799-806a-312d492482b3.zip,MEEK4,79,61.79,42.44886075949367
pack_new_primary_all,70c49062-1ea0-4e73-a649-32d0a9986474.zip,MEEK3,75,69.56,47.5924
pack_new_primary_all,96035745-eafb-42f8-81cf-4493f946e853.pdf,MEEK3,67,69.82,43.685970149253734
pack_new_primary_all,a0da751d-4b19-46f9-8e48-0272150ab69d.pdf,MEEK3,67,69.82,43.685970149253734
pack_old_all,7a619538-45e5-4488-9eb4-e0d1894a06cc.md,MEEK2,65,51.0,26.63230769230769
pack_new_primary_all,92f01e67-69c6-4d2d-84ad-1a1e4f1fc06d.zip,MEEK2,56,55.39,38.12678571428571
pack_old_meek4_emailthread,Gmail - Healthwest Exam_1_RUSCO (5).pdf,MEEK4,50,44.29,36.9366
pack_old_meek4_emailthread,Gmail - Healthwest Exam_1_RUSCO (8).pdf,MEEK4,50,44.29,36.9366
pack_old_meek4_emailthread,Gmail - Healthwest Exam_1_RUSCO (9).pdf,MEEK4,50,44.29,36.9366
pack_old_meek4_emailthread,Gmail - Healthwest Exam_2_RUSCO (6).pdf,MEEK4,50,44.29,36.9366
pack_old_meek4_emailthread,Gmail - Healthwest Exam_3_RUSCO (7).pdf,MEEK4,50,44.29,36.9366
pack_new_primary_all,8e5460ad-ca1d-4cac-b802-1ec6e07997fb.md,MEEK3,49,81.55,45.76326530612245
pack_new_primary_all,ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,MEEK2,47,93.21,55.85361702127659
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0010.pdf,MEEK4,42,43.7,32.461190476190474
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0001.pdf,MEEK4,42,43.69,32.435
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0006.pdf,MEEK4,39,38.29,30.964358974358973
pack_new_primary_all,cd4d925c-fcd2-41a7-915a-102a20b92b40.pdf,MEEK2,38,81.96,41.305263157894736
pack_old_all,ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,MEEK2,37,39.41,28.7027027027027
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0022.pdf,MEEK4,36,37.83,31.665833333333335
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0021.pdf,MEEK4,36,37.81,31.663333333333338
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0013.pdf,MEEK4,35,38.22,31.571714285714286
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0015.pdf,MEEK4,35,37.75,31.583714285714287
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0020.pdf,MEEK4,34,37.44,31.652058823529416
pack_old_all,bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,MEEK2,32,47.0,28.480625
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0004.pdf,MEEK4,31,36.05,31.37
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0019.pdf,MEEK4,30,44.02,31.88533333333333
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0017.pdf,MEEK4,30,41.68,31.983333333333334
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0024.pdf,MEEK4,30,41.68,31.784333333333333
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0008.pdf,MEEK4,27,42.6,31.95888888888889
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0025.pdf,MEEK4,27,42.59,32.07037037037037
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0026.pdf,MEEK4,27,36.77,29.92
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0009.pdf,MEEK4,27,36.76,29.918518518518518
pack_old_all,8e5460ad-ca1d-4cac-b802-1ec6e07997fb.md,MEEK3,23,32.58,24.32782608695652
pack_new_primary_all,dba73432-3966-4a47-9ff7-90bbf1f2f1f2.zip,MEEK2,22,67.9,46.62863636363636
pack_new_primary_all,d8c1df2c-f070-4111-8b75-8064f1a6a996.md,MEEK2,22,64.52,47.303636363636365
pack_new_primary_all,3055edeb-0469-492a-9865-021bb87dcc03.md,MEEK2,22,60.98,48.39863636363636
pack_old_all,d8c1df2c-f070-4111-8b75-8064f1a6a996.md,MEEK2,22,40.33,28.19272727272727
pack_new_primary_all,bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,MEEK2,21,159.4,65.13333333333333
pack_new_primary_all,d936b8f2-5418-460d-a0aa-81acac8d6acd.zip,MEEK4,21,46.18,43.15428571428571
pack_old_all,8e5460ad-ca1d-4cac-b802-1ec6e07997fb.md,MEEK2,21,36.52,24.758571428571425
