claimId:ID,text,:LABEL
claim-1,Cc6b2dfa14b4b,Claim
claim-2,Cfd5aba895223,Claim
claim-3,Cb263ee65e3fe,Claim
claim-4,Ccdcff41df021,Claim
claim-5,C639ed2dc37a5,Claim
claim-6,C2a1b0c7ea9ef,Claim
claim-7,Ce6cd9532a283,Claim
claim-8,C12235db2f1c6,Claim
claim-9,Ccd7c68c170ee,Claim
claim-10,C0663900a329c,Claim
claim-11,C1cce8c1314c5,Claim
claim-12,Cd5683caba36e,Claim
claim-13,C8ff5c67a8dcd,Claim
claim-14,C5b777be991e2,Claim
claim-15,C8722eddc18da,Claim
claim-16,C515f3e68b4ba,Claim
claim-17,Cb97be8ad65fa,Claim
claim-18,Cd91a08243c16,Claim
claim-19,C1d6a496779a2,Claim
claim-20,C20f6c6b062fc,Claim
claim-21,C6f35d780fecc,Claim
claim-22,C8fc17501ba04,Claim
claim-23,C838c9ea780ad,Claim
claim-24,Cebe523d6760b,Claim
claim-25,C6ed988348cbd,Claim
claim-26,Cf40cba3f9b24,Claim
claim-27,C28744be476d6,Claim
claim-28,C1480c4c14bfa,Claim
claim-29,C6a370b0e8948,Claim
claim-30,C4c94d30ed374,Claim
claim-31,Cfd10218e0d94,Claim
claim-32,Cfd1de4cbe89e,Claim
claim-33,C437d0527efe0,Claim
claim-34,Cdd598a2f0727,Claim
claim-35,Ccf3c31c390a9,Claim
claim-36,C6f94eb2e050c,Claim
claim-37,C0a9a3eeeb3fe,Claim
claim-38,Cd80e9bede30d,Claim
claim-39,C57f889b04431,Claim
claim-40,Cbd878398cd03,Claim
claim-41,Cc4911660be0d,Claim
claim-42,Cbe4c73751301,Claim
claim-43,Cd97529380c1e,Claim
claim-44,C5e21752d56c2,Claim
claim-45,Cddd4c08bce21,Claim
claim-46,C52c53b8685ac,Claim
claim-47,Ceb386aa1a8ac,Claim
claim-48,Cb8ae4059a4d3,Claim
claim-49,C55c2b9935d8a,Claim
claim-50,Cfc0e63305362,Claim
claim-51,Ca292e59343db,Claim
claim-52,C1ebf45fa7cac,Claim
claim-53,C3b8a4bf5e2aa,Claim
claim-54,C09c773f2bb9c,Claim
claim-55,C8e529913f494,Claim
claim-56,Ca58bec5f5ad4,Claim
claim-57,Cea03ddd0fe54,Claim
claim-58,C1f5a9ed6542b,Claim
claim-59,C6d3f64d6fa70,Claim
claim-60,C31a6a9db6712,Claim
claim-61,Cdc63cb556927,Claim
claim-62,C5888c313887c,Claim
claim-63,C421edd6ee76d,Claim
claim-64,C5feae3e7a987,Claim
claim-65,C56593da8fa79,Claim
claim-66,C9c350da81968,Claim
claim-67,Ca7cd53f2a7d1,Claim
claim-68,Cf5693748d86f,Claim
claim-69,Cc48f569276a9,Claim
claim-70,C26ce663e673e,Claim
claim-71,C0076cb0bb97d,Claim
claim-72,C6420d081db7c,Claim
claim-73,C56ede8d95e4a,Claim
claim-74,C99764625d881,Claim
claim-75,Ccfa09633f611,Claim
claim-76,C4c7f402c96d5,Claim
claim-77,Cd9cd953d185e,Claim
claim-78,Cd8c2832f48dc,Claim
claim-79,C38a9c8fab90d,Claim
claim-80,C89d77d0f3391,Claim
claim-81,C226c22ac4808,Claim
claim-82,Ca97e9d8e5724,Claim
claim-83,C8f47edf2ea8a,Claim
claim-84,C4230f8650f57,Claim
claim-85,C0112283dacd9,Claim
claim-86,C432ebcb8b5d8,Claim
claim-87,Cd7b55a8caea0,Claim
claim-88,C537451243a18,Claim
claim-89,Cdccde590bc48,Claim
claim-90,C0c596835ff58,Claim
claim-91,C6701d83c8704,Claim
claim-92,C22d6ff5a4f9b,Claim
claim-93,Ce64b4a25b159,Claim
claim-94,Cb4f9b7690bf4,Claim
claim-95,C5797bd88af21,Claim
claim-96,C1580dde63143,Claim
claim-97,C2eecad2d87d7,Claim
claim-98,Cc529e1e70438,Claim
claim-99,Cfa4bb882858a,Claim
claim-100,C93470c6fc790,Claim
claim-101,C8a0f65ed0842,Claim
claim-102,Ce4d9030f3380,Claim
claim-103,C869ac450b9e5,Claim
claim-104,C45d19b16a6db,Claim
claim-105,C3096b9232ac8,Claim
claim-106,Cd1c10acec1ee,Claim
claim-107,Cd7e06551f1f1,Claim
claim-108,C1b038d01500a,Claim
claim-109,Cc3f608c12082,Claim
claim-110,Cd5efa8b81695,Claim
claim-111,Ca10390020d27,Claim
claim-112,C870e24fda811,Claim
claim-113,C68dfbf0dfec8,Claim
claim-114,Cd95e976f2f74,Claim
claim-115,Cea95c6ea6f72,Claim
claim-116,C4ef5c2fcf7fc,Claim
claim-117,C3a88c27b8b9d,Claim
claim-118,Cf5b6db9da100,Claim
claim-119,C62f84e1a399d,Claim
claim-120,C7bcae83b938a,Claim
claim-121,C5395e2946fc6,Claim
claim-122,C6f92c76ea60a,Claim
claim-123,C768d4e81068d,Claim
claim-124,C6f602ef6bbdd,Claim
claim-125,Cbb2adaa94bdf,Claim
claim-126,C544d86243862,Claim
claim-127,C8a4497ea6fa5,Claim
claim-128,Cb4ce03142ee5,Claim
claim-129,C2de3bf13ea4a,Claim
claim-130,C975764f9081c,Claim
claim-131,C5af0f68e41f4,Claim
claim-132,Cda81ce4c21bf,Claim
claim-133,Cb68a28b95540,Claim
claim-134,Cccb1d9f49fa8,Claim
claim-135,Cfb1af22fc521,Claim
claim-136,C848d72dcaee7,Claim
claim-137,C4d11f9bb4ea4,Claim
claim-138,C16ebda119fc0,Claim
claim-139,Cbc10ac9d03f1,Claim
claim-140,Cccafa9344acb,Claim
claim-141,C87eab614a291,Claim
claim-142,Ccb68167c32cd,Claim
claim-143,Cfe0c1a5869b2,Claim
claim-144,Cf5525de69841,Claim
claim-145,C17ca754a8d36,Claim
claim-146,C723ea71aa583,Claim
claim-147,C03f0eb45f053,Claim
claim-148,C95f3b7699d05,Claim
claim-149,C64d64f3f675f,Claim
claim-150,C6b6a636a68ed,Claim
claim-151,C6caefc4232b3,Claim
claim-152,C4bd006d2a7ce,Claim
claim-153,Cfb6d278b8753,Claim
claim-154,Ceb5f5c4dea22,Claim
claim-155,C7ebcbabf0fda,Claim
claim-156,Cbf86d1c81ee4,Claim
claim-157,C7521aa17492f,Claim
claim-158,Cea8812eb79ce,Claim
claim-159,C4c47c364f915,Claim
claim-160,C34252f462a3e,Claim
claim-161,Cc4d7c1f293eb,Claim
claim-162,Cf6033dadd04d,Claim
claim-163,Ca561a47fe76d,Claim
claim-164,C7e03e44d6a7f,Claim
claim-165,Cf4abe28748e3,Claim
claim-166,C91bf932f0f51,Claim
claim-167,C2d8ae0ab28e9,Claim
claim-168,Cc33f66aafd5b,Claim
claim-169,C1320a631e87b,Claim
claim-170,C4d1b6a4f6473,Claim
claim-171,C0a2c168b4ddc,Claim
claim-172,Ca0c701b3f62b,Claim
claim-173,C5d886bac3a79,Claim
claim-174,C9b1b11f9da7c,Claim
claim-175,C89d286d1aa1e,Claim
claim-176,Cb4cebfed0103,Claim
claim-177,Cffb27e2b6707,Claim
claim-178,Cf1ca2d3016ab,Claim
claim-179,C0122ad5923f7,Claim
claim-180,C04d74e6ce8fa,Claim
claim-181,Cf7325ad70c62,Claim
claim-182,C607ac3c0a408,Claim
claim-183,C4d2a9fbb89b9,Claim
claim-184,C575dfaa97d4e,Claim
claim-185,Cd5eb9b222564,Claim
claim-186,Ce3d3a944f5df,Claim
claim-187,Cb1643132596a,Claim
claim-188,C2ea27e7d5fe6,Claim
claim-189,C9178742ab4e3,Claim
claim-190,Cb5ca84328d6b,Claim
claim-191,C1c444d851f22,Claim
claim-192,Ca23aa5cf7d36,Claim
claim-193,C5fc794a419a6,Claim
claim-194,Ce37fe0e82e4f,Claim
claim-195,C562364d91bdb,Claim
claim-196,C42fb3744aad4,Claim
claim-197,C3785fd06214f,Claim
claim-198,C086bb01100bb,Claim
claim-199,C5e5bdd7e9725,Claim
claim-200,C5ca0faa782bf,Claim
claim-201,C7416782f0cf0,Claim
claim-202,C17d2f9d80451,Claim
claim-203,C6ddf6c34d74a,Claim
claim-204,C83d3cbf9fc2c,Claim
claim-205,Ca1a6935ed0cf,Claim
claim-206,Cbe2491978036,Claim
claim-207,C7b9d39db766f,Claim
claim-208,C00206de6f2cf,Claim
claim-209,C10158fd1ad4b,Claim
claim-210,C14d78533b03a,Claim
claim-211,C4765f524ee97,Claim
claim-212,C012f24c1955d,Claim
claim-213,Cab8636c3071a,Claim
claim-214,C4036c57030c9,Claim
claim-215,C8f6bf000879b,Claim
claim-216,C8602fcccc4f2,Claim
claim-217,C8bbdb540214e,Claim
claim-218,C2ffb325e050c,Claim
claim-219,C602560f3074a,Claim
claim-220,Ce39a5ee9ddf3,Claim
claim-221,C59067caad054,Claim
claim-222,C2a7a2762fb6e,Claim
claim-223,C24b1b17c3ca3,Claim
claim-224,Ca4a26237e85c,Claim
claim-225,C6f8f47c673ca,Claim
claim-226,C2cb0248d44a8,Claim
claim-227,Cc3dcf17c6175,Claim
claim-228,C6f4d3a0e64e0,Claim
claim-229,C3ed189be86cb,Claim
claim-230,C520ce78d5e38,Claim
claim-231,C2ac5a2a9657e,Claim
claim-232,Caa781f0738af,Claim
claim-233,C5052d48a51a3,Claim
claim-234,Ceb7ff2030794,Claim
claim-235,C882323af4c97,Claim
claim-236,C7c01e3b9d5ac,Claim
claim-237,C2746c17d4888,Claim
claim-238,Cfd13574e17bd,Claim
claim-239,C0c5996e8bedc,Claim
claim-240,C3eae2d5e12ea,Claim
claim-241,C32ad24fef330,Claim
claim-242,Cd56299608c23,Claim
claim-243,Cdadb157e8c7d,Claim
claim-244,C04e11316bb78,Claim
claim-245,C74afbf92a2e5,Claim
claim-246,C2f4722c08465,Claim
claim-247,C0c7d9937bf64,Claim
claim-248,C7921ae9cdc81,Claim
claim-249,Ce6992c1b2941,Claim
claim-250,Ce44a16d4f1d4,Claim
claim-251,C915164242b6c,Claim
claim-252,C4a88d8aabbe1,Claim
claim-253,C85e4e9ed4772,Claim
claim-254,Ccc1256c5a2e0,Claim
claim-255,C7ed4c86449c5,Claim
claim-256,Cf1e4122f4ef1,Claim
claim-257,C5ea9ecce7733,Claim
claim-258,C0e4f81773057,Claim
claim-259,C9ce3ffda7824,Claim
claim-260,C08340d0a4b3e,Claim
claim-261,C63015ac6365b,Claim
claim-262,C2936921cb89c,Claim
claim-263,C3333d1cd350d,Claim
claim-264,C3073d450796f,Claim
claim-265,C471b047940db,Claim
claim-266,C909cedd9c5b6,Claim
claim-267,Caec66198f009,Claim
claim-268,C82537c528536,Claim
claim-269,C10ab89942175,Claim
claim-270,C289700747cf4,Claim
claim-271,Ced27f45168be,Claim
claim-272,Cdb84dd2d6b22,Claim
claim-273,C824778da3b18,Claim
claim-274,C225ee4d626c3,Claim
claim-275,C29cd6085d89c,Claim
claim-276,Cd296661b6a91,Claim
claim-277,C8321ee9495b0,Claim
claim-278,C1e4a69a204b2,Claim
claim-279,C7cfa227d11c0,Claim
claim-280,C5df914d9a201,Claim
claim-281,C5080943dffae,Claim
claim-282,C5cff734f6611,Claim
claim-283,Cf939fad75935,Claim
claim-284,C4bcfc9d6990c,Claim
claim-285,C9c3a8bcc0b18,Claim
claim-286,Cd36c1d137d3f,Claim
claim-287,C7bfb11ac5ffb,Claim
claim-288,Cc25e4d13cbbc,Claim
claim-289,Ccbdd6d7b3d7f,Claim
claim-290,C8de41123578d,Claim
claim-291,C36838ddb978e,Claim
claim-292,Cc22566ff85f7,Claim
claim-293,Cd7425e899810,Claim
claim-294,C88642b7b5857,Claim
claim-295,C53949f782857,Claim
claim-296,Cc20f2c84390d,Claim
claim-297,C930671621abe,Claim
claim-298,Cd95a91be0476,Claim
claim-299,Cad8172625c02,Claim
claim-300,C051e5a95dd2a,Claim
claim-301,Ce703547056e3,Claim
claim-302,Cecd07f0f47e6,Claim
claim-303,Cf160e56ac54a,Claim
claim-304,C981f67b4100a,Claim
claim-305,Cc393743b9b75,Claim
claim-306,C91615480ad0d,Claim
claim-307,Ca4bc88880abc,Claim
claim-308,C0e9d47ce2851,Claim
claim-309,C04c34b05f9ee,Claim
claim-310,Cf77cc2b79ff4,Claim
claim-311,Cdd872e0f4249,Claim
claim-312,Cbbca1b351644,Claim
claim-313,C1a354d6446fb,Claim
claim-314,C645878fd6b5f,Claim
claim-315,C7c81b953e3dd,Claim
claim-316,Caae368617cce,Claim
claim-317,Ca3a751de999e,Claim
claim-318,Ceb9c62e305ac,Claim
claim-319,Ce930200b80ee,Claim
claim-320,Cdb6be6aba575,Claim
claim-321,C245496060a25,Claim
claim-322,C1bf2faf02c5c,Claim
claim-323,C6911edaa08b2,Claim
claim-324,Cd7a748b9e58d,Claim
claim-325,C29a9c50be99d,Claim
claim-326,C87bc454dae02,Claim
claim-327,C63348df47cb1,Claim
claim-328,C27d45fa3664a,Claim
claim-329,C7d45db036bb2,Claim
claim-330,C716b6f0f776b,Claim
claim-331,C74caa55112a9,Claim
claim-332,Cd562cb7af874,Claim
claim-333,Cd9f5de371463,Claim
claim-334,C15f31a4952ca,Claim
claim-335,C44c29d3d8e13,Claim
claim-336,C323f27097f91,Claim
claim-337,C4a182ac0c3b0,Claim
claim-338,Cd8a2b2861ee3,Claim
claim-339,C433a8345e2c3,Claim
claim-340,C373c69cc7efc,Claim
claim-341,C236af1cebd23,Claim
claim-342,C53f86f142938,Claim
claim-343,C217ee757a71f,Claim
claim-344,Cd09bf415b758,Claim
claim-345,Cb5fb5b96edb1,Claim
claim-346,C4d9fd6fe96cd,Claim
claim-347,C2470028f4ec8,Claim
claim-348,C154f4b017b67,Claim
claim-349,C99a89fd7b288,Claim
claim-350,Cb09ea8264e19,Claim
claim-351,C24bf01699607,Claim
claim-352,C63b936a0e567,Claim
claim-353,C7ed7e41d4572,Claim
claim-354,Cfdd6594dbd4c,Claim
claim-355,C5ba2a943395a,Claim
claim-356,C2435d8972814,Claim
claim-357,C171cfbe5e5f0,Claim
claim-358,C648969882b7d,Claim
claim-359,Ccc497ff22ef7,Claim
claim-360,C3dc745d14c8d,Claim
claim-361,Ce44e4b8c023c,Claim
claim-362,C10331caec4be,Claim
claim-363,C2a22ea598131,Claim
claim-364,C8c46f00eca51,Claim
claim-365,Cff5ba855ab08,Claim
claim-366,C29aad2d792a7,Claim
claim-367,C1ac68c68922a,Claim
claim-368,C38238e2552fa,Claim
claim-369,C6cf55bb6aded,Claim
claim-370,Cdc0ae0e2afe4,Claim
claim-371,C28fa805612c2,Claim
claim-372,C55bf0b4364ca,Claim
claim-373,C8c5eae6aae49,Claim
claim-374,Ca5a3cfc59e10,Claim
claim-375,Cf71980f90725,Claim
claim-376,C477c8fe37f97,Claim
claim-377,C12f42f06622a,Claim
claim-378,Ce022b5910eb9,Claim
claim-379,C57863264f105,Claim
claim-380,Ccc95e5d962f6,Claim
claim-381,Ce8abe4374953,Claim
claim-382,Ce4906982b983,Claim
claim-383,Cc603422aaeb2,Claim
claim-384,C4789fe60a48f,Claim
claim-385,Cc751caa2b53c,Claim
claim-386,C0822cd8be203,Claim
claim-387,Cd4f140ec9cec,Claim
claim-388,C1ee3ecddca19,Claim
claim-389,Cd4ddbac19029,Claim
claim-390,C8afed07e941b,Claim
claim-391,Cb3eb94fb8007,Claim
claim-392,C484926b20b7d,Claim
claim-393,C1d72f651a7c1,Claim
claim-394,C8145b532c7a5,Claim
claim-395,C1f2e9fde4529,Claim
claim-396,Cbc991c097f9e,Claim
claim-397,C0c54181dd3b5,Claim
claim-398,C60d506a5f10b,Claim
claim-399,Cafe67cc76e05,Claim
claim-400,C62a63442d8d1,Claim
claim-401,C81a967e096f0,Claim
claim-402,C45a69a4a1a42,Claim
claim-403,Cce4f6b3fb9a8,Claim
claim-404,C02ab1f0ff391,Claim
claim-405,C3bc3d08e0e60,Claim
claim-406,C4c40eb7e58c8,Claim
claim-407,C14799711d551,Claim
claim-408,Cb2beae64fd8a,Claim
claim-409,Cbbf58bbcd70c,Claim
claim-410,Cb07e76b8e725,Claim
claim-411,C65c54a8c5d76,Claim
claim-412,C09f1c4d608a5,Claim
claim-413,C565e7bb372cb,Claim
claim-414,Cf4dcf9d7b460,Claim
claim-415,C11dc6559485e,Claim
claim-416,Cfd0c36b3c623,Claim
claim-417,Caf71e774eeaf,Claim
claim-418,Cb62fd167620c,Claim
claim-419,C60040cd2e65b,Claim
claim-420,C24080273ad73,Claim
claim-421,Cc96fc233514f,Claim
claim-422,Cd43251c5f6cc,Claim
claim-423,Ca099aaada9f6,Claim
claim-424,Cf4b97ddff884,Claim
claim-425,C8b86d991fcb1,Claim
claim-426,C3a173fa0aa8e,Claim
claim-427,C0458716b4c7e,Claim
claim-428,C06972756006a,Claim
claim-429,C6d8d1706f60c,Claim
claim-430,Cff561b1ea261,Claim
claim-431,C1e9b62e05f4b,Claim
claim-432,C80a417311e95,Claim
claim-433,C062f3bd2384c,Claim
claim-434,C1d55d3ed4c80,Claim
claim-435,Cf7c091df8c06,Claim
claim-436,C388151c3401d,Claim
claim-437,Cdf9bf55576fe,Claim
claim-438,C30fbea6a8489,Claim
claim-439,C4e4d9ddf98c3,Claim
claim-440,C2b13dc8e4061,Claim
claim-441,Ca9c3903747a1,Claim
claim-442,C8965c1b277d8,Claim
claim-443,C8c7343ee1668,Claim
claim-444,C00f2102ae9a4,Claim
claim-445,C1afc53217adb,Claim
claim-446,C4c9b761db3a9,Claim
claim-447,C9fa52ccc86a4,Claim
claim-448,C18853852ed6d,Claim
claim-449,C7ab357c8df0e,Claim
claim-450,Cab90294ef140,Claim
claim-451,C9d027ea824fe,Claim
claim-452,Ce8e589dde8da,Claim
claim-453,Cd709d859f6d3,Claim
claim-454,Ccbb38969b6f9,Claim
claim-455,C05e89676c34f,Claim
claim-456,Cde74f67e1243,Claim
claim-457,Cc0d8eb6bfcf1,Claim
claim-458,C4c6c0fdeb8a4,Claim
claim-459,C9c643d947769,Claim
claim-460,C50ff7c4e40cf,Claim
claim-461,C36c3709e3536,Claim
claim-462,Cfdc0eded8efb,Claim
claim-463,C922cbb871ca3,Claim
claim-464,C86f50aad378d,Claim
claim-465,C0db88b786d89,Claim
claim-466,C42b8840216e7,Claim
claim-467,Cf1ffe096d239,Claim
claim-468,Cbb931ec33a69,Claim
claim-469,Cee219023750c,Claim
claim-470,C15eddc0b05a3,Claim
claim-471,Ce19e234699bf,Claim
claim-472,C1a20fbfa901e,Claim
claim-473,C69a4e902aadd,Claim
claim-474,C59cdc1c44ec0,Claim
claim-475,Ca44ff0527b8b,Claim
claim-476,C84aec62497cf,Claim
claim-477,Cc1b041dc94b7,Claim
claim-478,C8143b7fe9b8c,Claim
claim-479,C9c6e219fe150,Claim
claim-480,Cc920787c24aa,Claim
claim-481,Cfee2347c05ad,Claim
claim-482,Cba8bdc21a1f6,Claim
claim-483,C71019585ac97,Claim
claim-484,Cba4f13891f7e,Claim
claim-485,C0748780af3f2,Claim
claim-486,Cc3c543354ca2,Claim
claim-487,Cfb4e52372dad,Claim
claim-488,C3996b5bd024f,Claim
claim-489,C456f282e358f,Claim
claim-490,Cdcd2d85b7124,Claim
claim-491,Cf1fd3736d479,Claim
claim-492,C729632a33ea1,Claim
claim-493,Cdc7a77d9a8d9,Claim
claim-494,Cc4b4492b79e1,Claim
claim-495,Cb7663e30aa01,Claim
claim-496,Ccff51bfbe5a6,Claim
claim-497,C9c8b01d4bf39,Claim
claim-498,C2f2c05fed9a2,Claim
claim-499,Cd742151417c0,Claim
claim-500,C5154a3170672,Claim
claim-501,Cfabeddb288ff,Claim
claim-502,C37cc072311ff,Claim
claim-503,C00db6a1472b8,Claim
claim-504,Cfd22d789b59a,Claim
claim-505,Ccd7b57ff79eb,Claim
claim-506,C2c35a3bd48c2,Claim
claim-507,Cafe386b2a28f,Claim
claim-508,C98183e4c677c,Claim
claim-509,Cc06e6d030568,Claim
claim-510,C4e8e6d905804,Claim
claim-511,Cb2cce1489108,Claim
claim-512,C6cfab4392607,Claim
claim-513,C579b3ee8a8ed,Claim
claim-514,C617d52286031,Claim
claim-515,C73448639a8d3,Claim
claim-516,C675d06702154,Claim
claim-517,C3a9368d293a9,Claim
claim-518,Cab460fc2f84d,Claim
claim-519,C4e02fa62f7b3,Claim
claim-520,Cc8c5c37adb69,Claim
claim-521,Ce6efa0d87845,Claim
claim-522,Cd65c1b81c8d9,Claim
claim-523,Cfc7155b72027,Claim
claim-524,Cd5732750ab35,Claim
claim-525,Cf0b3ade801d6,Claim
claim-526,C19d1a88305f5,Claim
claim-527,Ca56a6b4e3b79,Claim
claim-528,C1f5078c71421,Claim
claim-529,Cecc36ca0ce18,Claim
claim-530,C06a751d0d0db,Claim
claim-531,Cd693787cdfd1,Claim
claim-532,Cc2d7bf80d181,Claim
claim-533,Cc146ea209bfd,Claim
claim-534,C24014814422c,Claim
claim-535,C9922b954edda,Claim
claim-536,C0aceef9a34bf,Claim
claim-537,C78d14339886b,Claim
claim-538,C6404e8939a00,Claim
claim-539,C7c3fdbc9b65b,Claim
claim-540,Cd5d5d41bf495,Claim
claim-541,C08a2c0787025,Claim
claim-542,C5c84c8b0e873,Claim
claim-543,Cb0da25930d02,Claim
claim-544,Cb791a0ebed5b,Claim
claim-545,Cdea5f49ebc45,Claim
claim-546,C5ee09a8c1cc1,Claim
claim-547,C3b6dbb45fb55,Claim
claim-548,Cacc1599cad7a,Claim
claim-549,C4764a288580d,Claim
claim-550,Ccf23e4902c43,Claim
claim-551,Cbbfa26454f0f,Claim
claim-552,Ca37e39100d75,Claim
claim-553,C1ec1f7b70e94,Claim
claim-554,C089f3207fb29,Claim
claim-555,C6abf6d2efeb0,Claim
claim-556,Cd9f9d27072e4,Claim
claim-557,Cd52c159ffc32,Claim
claim-558,C212926955fb9,Claim
claim-559,Cd33ef212630d,Claim
claim-560,C6bddc58e895d,Claim
claim-561,C4b0d49c2fbc0,Claim
claim-562,Ce3383e3e86e5,Claim
claim-563,C78206718c481,Claim
claim-564,C75352e868dd1,Claim
claim-565,C45bd72ae8749,Claim
claim-566,Cb387a89d2130,Claim
claim-567,Cc7fbb685cb93,Claim
claim-568,C0b53d3411472,Claim
claim-569,C592e9a0684aa,Claim
claim-570,Cf81536e5fc29,Claim
claim-571,C1a6e6d10ecd1,Claim
claim-572,C3c3a92d0a359,Claim
claim-573,Ce29ad2cf78a9,Claim
claim-574,Ce40f9c100c76,Claim
claim-575,Cbd583b40926b,Claim
claim-576,C6e92ea14de42,Claim
claim-577,C3305cd3d50a3,Claim
claim-578,Ca6e8039ab8e0,Claim
claim-579,C081b039d7d99,Claim
claim-580,C6486c5b394c5,Claim
claim-581,C88aa66f35da5,Claim
claim-582,C09c46ba08bbd,Claim
claim-583,C9fe856cc9675,Claim
claim-584,C460d06231af5,Claim
claim-585,Caf60afaad627,Claim
claim-586,C4323d1609da6,Claim
claim-587,C1b4acc298f41,Claim
claim-588,Ce4d3c564cb4b,Claim
claim-589,Cc42f04b85df1,Claim
claim-590,Ccdbbda3595e1,Claim
claim-591,C6417421a838f,Claim
claim-592,Cab805823c639,Claim
claim-593,Cc0e5d9822608,Claim
claim-594,C40f107889123,Claim
claim-595,Ce11fea2e8093,Claim
claim-596,C9415293a20c5,Claim
claim-597,C49b687287d95,Claim
claim-598,C496f2c9c7427,Claim
claim-599,Ceccd324f7085,Claim
claim-600,Cabd1f3316a1d,Claim
claim-601,C273db21a978a,Claim
claim-602,C7f0d5a40dd09,Claim
claim-603,Cd7f83cef0f76,Claim
claim-604,C2c7bbec076ff,Claim
claim-605,C882bf0ca17c2,Claim
claim-606,Cc26e227ade6d,Claim
claim-607,Ca304d53b18e7,Claim
claim-608,Ce5944c264c72,Claim
claim-609,Cc063e507b74c,Claim
claim-610,Cf0ab10b5d317,Claim
claim-611,C13cc91d742a6,Claim
claim-612,Cc81d883dc16c,Claim
claim-613,C08ef9cceca27,Claim
claim-614,Cc4d7dcd69a57,Claim
claim-615,C0948f9db9100,Claim
claim-616,Cb7157d6af7fd,Claim
claim-617,C20afe15db6c5,Claim
claim-618,Cd57ec4c22351,Claim
claim-619,Cbc3e7fb2768e,Claim
claim-620,Cff8784bd4abc,Claim
claim-621,C668ea11c516a,Claim
claim-622,Cd9e7e1f22412,Claim
claim-623,C2fb0581b7671,Claim
claim-624,C765d1efa7345,Claim
claim-625,C918041dd2727,Claim
claim-626,C0fd812190a53,Claim
claim-627,C861e9021947c,Claim
claim-628,C9b0ecf586942,Claim
claim-629,Cd9afc1aafd99,Claim
claim-630,C4b9802ff3293,Claim
claim-631,C77035a983d6d,Claim
claim-632,Cb6929f9c0657,Claim
claim-633,C0837e36215b1,Claim
claim-634,C080509ef055b,Claim
claim-635,Ce9d02afdb971,Claim
claim-636,C6ec2d756c2df,Claim
claim-637,Cfe21d80b84b3,Claim
claim-638,Cf57de72b1e96,Claim
claim-639,C18c195e17431,Claim
claim-640,C8a778b58f3f6,Claim
claim-641,C786cf816e677,Claim
claim-642,C7ef908d0a1e3,Claim
claim-643,C0b175423e9d2,Claim
claim-644,Cba3cbcaba222,Claim
claim-645,Ca329851c5687,Claim
claim-646,Cd87da1ad903c,Claim
claim-647,Cebe9a76a0b0a,Claim
claim-648,C7a7da9935c26,Claim
claim-649,C16f855b9f7b7,Claim
claim-650,C2a132597410b,Claim
claim-651,Cbbce0bf1071c,Claim
claim-652,C8815ea0075bc,Claim
claim-653,C8a7d2050be61,Claim
