relpath,bytes,crc32,mtime
NUCLEUS_APEX_POSTER_BLUEPRINT_V3_3_20260208_2124.pdf,17827256,5cdaab4a,1770585872
NUCLEUS_APEX_POSTER_BLUEPRINT_V3_4_20260208_2132.pdf,7450,2c00bb60,1770586635
V3_3/metrics_v3_3/bloom_heading_level_counts.csv,43,e14f9d19,1770585864
V3_3/metrics_v3_3/bloom_toc_excerpt_250.csv,10859,6144587b,1770585864
V3_3/metrics_v3_3/bloom_toc_full.csv,177430,6aa98d5e,1770585864
V3_3/metrics_v3_3/contradiction_status_counts.csv,22,b96c1376,1770585865
V3_3/metrics_v3_3/contradiction_type_counts.csv,43,250a2175,1770585865
V3_3/metrics_v3_3/edge_coverage.csv,226,d92677fc,1770585865
V3_3/metrics_v3_3/edge_tail_buckets.csv,518,d15fe664,1770585865
V3_3/metrics_v3_3/exparte_image_metadata.csv,361,0fae8284,1770585865
V3_3/metrics_v3_3/graphml_edge_type_counts.csv,2223,e8daa611,1770585863
V3_3/metrics_v3_3/graphml_kind_counts.csv,2212,daa72716,1770585863
V3_3/metrics_v3_3/graphml_tag_token_counts.csv,149,66a324fd,1770585863
V3_3/metrics_v3_3/kind_coverage.csv,223,b7caf56e,1770585865
V3_3/metrics_v3_3/kind_tail_buckets.csv,534,8ea400c4,1770585865
V3_3/metrics_v3_3/kind_type_crosswalk_candidates.csv,2080,f066c7e0,1770585864
V3_3/metrics_v3_3/neo4j_import_snippets.cypher,937,cd5ef98c,1770585865
V3_3/metrics_v3_3/nodes_normalized_propertykey_freq_sample.csv,605,77480ec9,1770585864
V3_3/metrics_v3_3/nodes_normalized_propertykey_freq_sample_meta.json,39,4a346ee6,1770585864
V3_3/metrics_v3_3/nodes_normalized_type_counts.csv,673,3b0d5df3,1770585864
V3_3/metrics_v3_3/pack_manifest_crc32.csv,3758,355a5817,1770585878
V3_3/metrics_v3_3/run_manifest_crc32.csv,2562,5c6cb97d,1770585872
V3_3/metrics_v3_3/run_summary.json,876,e49b5310,1770585872
V3_3/metrics_v3_3/transcript_candidate_lines.csv,964,e30acfc3,1770585865
V3_3/metrics_v3_3/transcript_case_candidates.csv,43,3e7be46e,1770585865
V3_3/metrics_v3_3/transcript_date_candidates.csv,1,32d70693,1770585865
V3_3/metrics_v3_3/transcript_fulltext.txt,5990,87fbec44,1770585865
V3_3/metrics_v3_3/transcript_keyword_hits.csv,403,4eca9abc,1770585865
V3_3/metrics_v3_3/transcript_metadata.json,1049,61205178,1770585865
V3_3/metrics_v3_3/transcript_name_candidates.csv,510,74221b97,1770585865
V3_3/metrics_v3_3/zip_inventory.csv,507,b0bd9279,1770585859
V3_4/metrics_v3_4/bloom_heading_level_counts.csv,43,e14f9d19,1770586328
V3_4/metrics_v3_4/bloom_toc_excerpt_250.csv,10859,6144587b,1770586328
V3_4/metrics_v3_4/bloom_toc_full.csv,177430,6aa98d5e,1770586328
V3_4/metrics_v3_4/contradiction_status_counts.csv,22,b96c1376,1770586329
V3_4/metrics_v3_4/contradiction_type_counts.csv,43,250a2175,1770586329
V3_4/metrics_v3_4/diagram_generation_blueprint.md,774,f97c1ca3,1770586329
V3_4/metrics_v3_4/exparte_image_metadata.csv,261,2aadf575,1770586329
V3_4/metrics_v3_4/external_tool_edges.csv,302,9dce152a,1770586329
V3_4/metrics_v3_4/external_tool_nodes.csv,888,8f1dad64,1770586329
V3_4/metrics_v3_4/external_tools_registry.csv,757,f9e788de,1770586329
V3_4/metrics_v3_4/external_tools_registry.json,1028,0488be37,1770586329
V3_4/metrics_v3_4/graphml_edge_type_counts.csv,2223,e8daa611,1770586328
V3_4/metrics_v3_4/graphml_kind_counts.csv,2212,daa72716,1770586328
V3_4/metrics_v3_4/graphml_tag_token_counts.csv,149,66a324fd,1770586328
V3_4/metrics_v3_4/mcp_integration_blueprint.md,1786,3e87997e,1770586329
V3_4/metrics_v3_4/pack_manifest_crc32.csv,3224,82644768,1770586336
V3_4/metrics_v3_4/run_manifest_crc32.csv,2223,d8221e69,1770586329
V3_4/metrics_v3_4/run_summary.json,589,bd0fb638,1770586329
V3_4/metrics_v3_4/transcript_candidate_lines.csv,964,e30acfc3,1770586329
V3_4/metrics_v3_4/transcript_case_candidates.csv,43,3e7be46e,1770586329
V3_4/metrics_v3_4/transcript_date_candidates.csv,1,32d70693,1770586329
V3_4/metrics_v3_4/transcript_fulltext.txt,5990,87fbec44,1770586329
V3_4/metrics_v3_4/transcript_keyword_hits.csv,403,4eca9abc,1770586329
V3_4/metrics_v3_4/transcript_metadata.json,1049,c0e2cf6c,1770586329
