group,count,share
authority,14947,0.372343870662382
Statute,9608,0.23934434397030616
keyword,7287,0.1815260443913011
violation,3472,0.08649079540642204
Generic,1892,0.04713150487008943
module,500,0.012455471688712852
other,432,0.010761527539047903
fact,320,0.007971501880776225
Canon,182,0.004533791694691478
Remedy,133,0.0033131554691976186
authority_hub,106,0.0026405599980071246
Defense,103,0.0025658271678748474
Benchbook,93,0.0023167177341005905
Complaint,69,0.0017188550930423735
Element,66,0.0016441222629100965
Motion,60,0.0014946566026455422
Form,60,0.0014946566026455422
Doctrine,58,0.0014448347158906908
document,57,0.0014199237725132652
Date,57,0.0014199237725132652
form,55,0.0013701018857584138
hub,54,0.001345190942380988
remedy,54,0.001345190942380988
Objection,53,0.0013202799990035623
page,52,0.0012953690556261365
MCR,45,0.0011209924519841566
case,37,0.000921704904964751
Authority,31,0.0007722392447001968
date,22,0.0005480407543033655
actor,21,0.0005231298109259398
procedure,20,0.0004982188675485141
element,15,0.00037366415066138555
procedure_step,15,0.00037366415066138555
MCL,15,0.00037366415066138555
category,13,0.0003238422639065341
benchbook_section,12,0.0002989313205291084
authority:MCL,11,0.00027402037715168275
process,10,0.00024910943377425704
jury_instruction,10,0.00024910943377425704
authority:MCR,10,0.00024910943377425704
Administrative,7,0.00017437660364197992
defense,6,0.0001494656602645542
venue,6,0.0001494656602645542
evidence,6,0.0001494656602645542
exhibit,5,0.00012455471688712852
statement,5,0.00012455471688712852
plan,5,0.00012455471688712852
Family,4,9.964377350970282e-05
case_container,4,9.964377350970282e-05
ocr_needed,4,9.964377350970282e-05
form:SCAO,4,9.964377350970282e-05
contradiction,3,7.47328301322771e-05
checklist,3,7.47328301322771e-05
allegation,3,7.47328301322771e-05
issue,3,7.47328301322771e-05
employment,2,4.982188675485141e-05
system_hub,2,4.982188675485141e-05
system_manifest,2,4.982188675485141e-05
order,2,4.982188675485141e-05
right,2,4.982188675485141e-05
nucleus,2,4.982188675485141e-05
Manual,2,4.982188675485141e-05
evidence_pdf,2,4.982188675485141e-05
transcript,1,2.4910943377425704e-05
transcript_cert,1,2.4910943377425704e-05
