kind,count,share
AUTHORITY,15695,0.3909772563086964
CATEGORY,2896,0.07214209202102484
VIOLATION,1582,0.039409112423087464
AUTHORITY|CATEGORY,1077,0.026829086017487482
CATEGORY|VIOLATION,750,0.018683207533069277
ACTOR|VIOLATION,646,0.016092469421817003
ACTOR,241,0.006003537353959594
ACTOR|CATEGORY|VIOLATION,192,0.004782901128465735
AUTHORITY|CANON|CATEGORY|VIOLATION,127,0.003163689808933064
AUTHORITY|CANON|CATEGORY,116,0.0028896694317813816
ACTOR|CATEGORY,86,0.0021423411304586104
AUTHORITY|CONSTITUTION/USC,83,0.0020676083003263335
AUTHORITY|BENCHBOOK|CATEGORY,79,0.0019679645268166307
AUTHORITY|BENCHBOOK,69,0.0017188550930423735
AUTHORITY|CATEGORY|CONSTITUTION/USC,49,0.0012206362254938595
AUTHORITY|SCAO,49,0.0012206362254938595
REMEDY,34,0.0008469720748324739
AUTHORITY|BENCHBOOK|CANON|CATEGORY,32,0.0007971501880776225
AUTHORITY|CATEGORY|SCAO,28,0.0006975064145679197
AUTHORITY|MCL,27,0.000672595471190494
AUTHORITY|MCR,25,0.0006227735844356425
AUTHORITY|BENCHBOOK|CATEGORY|VIOLATION,21,0.0005231298109259398
ACTOR|AUTHORITY|CANON|CATEGORY|VIOLATION,21,0.0005231298109259398
ACTOR|AUTHORITY|SCAO,6,0.0001494656602645542
ACTOR|AUTHORITY|CONSTITUTION/USC|VIOLATION,6,0.0001494656602645542
ACTOR|AUTHORITY|CONSTITUTION/USC,4,9.964377350970282e-05
AUTHORITY|VIOLATION,2,4.982188675485141e-05
ACTOR|AUTHORITY,2,4.982188675485141e-05
ACTOR|AUTHORITY|CANON|CATEGORY,2,4.982188675485141e-05
ACTOR|AUTHORITY|SCAO|VIOLATION,2,4.982188675485141e-05
ACTOR|AUTHORITY|CATEGORY|CONSTITUTION/USC|VIOLATION,1,2.4910943377425704e-05
AUTHORITY|CATEGORY|VIOLATION,1,2.4910943377425704e-05
AUTHORITY|BENCHBOOK|CATEGORY|CONSTITUTION/USC,1,2.4910943377425704e-05
AUTHORITY|CATEGORY|CONSTITUTION/USC|VIOLATION,1,2.4910943377425704e-05
AUTHORITY|CONSTITUTION/USC|VIOLATION,1,2.4910943377425704e-05
AUTHORITY|BENCHBOOK|VIOLATION,1,2.4910943377425704e-05
AUTHORITY|BENCHBOOK|CONSTITUTION/USC,1,2.4910943377425704e-05
