node_id,degree_total,degree_in,degree_out,kind,group,name,labels
hub_MCR_Wheel,28493,27591,902,AUTHORITY,authority_hub,MCR Wheel,Authority;MCR Wheel;Node
hub::authority,23841,22937,904,,hub,hub::authority,Authority;Node
d6b206585b93da356fd144c0,11086,11085,1,AUTHORITY,Family,MCR,Authority;AuthorityHub;Node
hub_MCL_Wheel,9779,8877,902,AUTHORITY,authority_hub,MCL Wheel,Authority;MCL Wheel;Node
hub::violation,4093,4089,4,VIOLATION,hub,hub::violation,Node;Violation
hub_MCL_Other,3912,3910,2,AUTHORITY,authority_hub,MCL Other,Authority;MCL Other;Node
hub_MCL_600_Revised_Judicature_Act_Courts_Procedure_,3679,3672,7,AUTHORITY,authority_hub,MCL 600 — Revised Judicature Act (Courts & Procedure),Authority;MCL 600 — Revised Judicature Act (Courts & Procedure);Node
72020838baebb67d794ece08,3559,3558,1,AUTHORITY,Family,MCL,Authority;AuthorityHub;Node
hub_MCR_2_x_Civil_Procedure,3252,3245,7,AUTHORITY,authority_hub,MCR 2.x — Civil Procedure,Authority;MCR 2.x — Civil Procedure;Node
mcr::2.119,3230,2328,902,AUTHORITY|MCR,authority,mcr::2.119,Authority;AuthorityHub;MCR 2.119;Node
remedy::d5301e3e6d,3187,2286,901,,remedy,remedy::d5301e3e6d,Node;sanctions
mcl::722.27a(9),3185,2283,902,AUTHORITY|MCL,authority,mcl::722.27a(9),Authority;AuthorityHub;MCL 722.27a(9);Node
mcr::3.207(B),3184,2282,902,AUTHORITY|MCR,authority,mcr::3.207(B),Authority;AuthorityHub;MCR 3.207(B);Node
hub_MCR_7_x_Appellate_Rules,3102,3095,7,AUTHORITY,authority_hub,MCR 7.x — Appellate Rules,Authority;MCR 7.x — Appellate Rules;Node
hub_MCR_3_x_Special_Proceedings,3097,3090,7,AUTHORITY,authority_hub,MCR 3.x — Special Proceedings,Authority;MCR 3.x — Special Proceedings;Node
hub_MCR_1_x_General_Provisions,3042,3035,7,AUTHORITY,authority_hub,MCR 1.x — General Provisions,Authority;MCR 1.x — General Provisions;Node
hub_MCR_5_x_Criminal_Procedure,3007,3000,7,AUTHORITY,authority_hub,MCR 5.x — Criminal Procedure,Authority;MCR 5.x — Criminal Procedure;Node
hub_MCR_6_x_Trials,3007,3000,7,AUTHORITY,authority_hub,MCR 6.x — Trials,Authority;MCR 6.x — Trials;Node
hub_MCR_8_x_Miscellaneous,3007,3000,7,AUTHORITY,authority_hub,MCR 8.x — Miscellaneous,Authority;MCR 8.x — Miscellaneous;Node
