label,count
Authority;Node;Kind_authority,7252
AuthorityCanonical;Authority;Kind_authority_canonical,7132
Authority;Node;Kind_keyword,1069
Authority;Node;Kind_Authority,28
Judgment_Custody;PT;CS_2024_001507_DC;Node;Violation;Kind_violation,22
Court;Node;Violation;Kind_violation,20
Circuit_Court_Judge;Node;Violation;Kind_violation,19
HON_JENNY_L_MCNEILL;Node;Violation;Kind_violation,19
Authority;Node;Kind_authority_hub,18
AuthoritySynthetic;Authority;Kind_authority_synthetic,17
Node;PROOF_OF_SERVICE;Violation;Kind_violation,17
Judgment_Custody;PT;CS2024_001507_DC;Node;Violation;Kind_violation,16
Court_address;Node;Violation;Kind_violation,15
Node;Uniform_Child_Support_Order_7_21;Violation;Kind_violation,14
Custody;Parenting_Time;and_Child_Support_Following_Facilitative_Information;Node;Violation;Kind_violation,11
Node;Obj_Ex_Part_Order_Custody;PT;CS_2024_001507_DC;Violation;Kind_violation,10
Node;Violation;when_that_coverage_is_accessible_to_the_child_and_available_at_a_reasonable_cost_The_reasonable_cost_is_the_parent_s;Kind_violation,10
Base_Support_includes_support_plus_or_minus_premium_adjustment_for_health_care_insurance;Node;Violation;Kind_violation,9
Hon_Jenny_L_McNeill;Node;Violation;Kind_violation,9
Node;Violation;or_seized_if_an_arrearage_accrues_in_an_amount_greater_than_the_periodic_support_payments_payable_for_two_months;Kind_violation,9
IN_THE_CIRCUIT_COURT_FOR_THE_COUNTY_OF_MUSKEGON;Node;Violation;Kind_violation,9
Node;Violation;net_cost_of_adding_the_children_to_the_parent_s_coverage;Kind_violation,9
Node;Violation;may_redirect_support_paid_for_a_child_to_the_person_who_is_providing_the_actual_care;support;and_maintenance_of_that;Kind_violation,8
L_9_Fees_The_payer_of_support_shall_pay_statutory_and_service_fees_as_required_by_law;Node;Violation;Kind_violation,8
Node;Violation;also_file_a_motion_to_modify_this_support_order;Kind_violation,8
Node;Violation;week_off_parenting_time;due_to_the_temporary_Order;and_since_the_minor_child_is;Kind_violation,8
Node;Violation;all_during_the_parenting_time_exchanges;Kind_violation,8
Node;Violation;specifically_referencing_the_PPO;the_police_reports;and_the_testimony_regarding;Kind_violation,8
Defendant_Mother_testified_that_she_encourages_a_close_and_continuing_parent;Node;Violation;Kind_violation,8
Node;Violation;the_child_and_the_other_parent;Kind_violation,8
Node;Violation;friend_of_the_court_if_the_changes_end_those_expenses_The_child_care_obligation_for_each_child_ends_on_August_31;Kind_violation,8
Node;The_Court_finds_that_both_parents_have_a_strong_bond_with_the_minor_child_This;Violation;Kind_violation,8
COURT_ORDERED_JUDGMENT_OF;Node;Violation;Kind_violation,8
IT_IS_FURTHER_ORDERED_that_the_Court_finds_by_clear_and_convincing;Node;Violation;Kind_violation,8
L_7_Foster_Care_Assignment_When_a_child_is_placed_in_foster_care;that_child_s_support_is_assigned_to_the_Michigan;Node;Violation;Kind_violation,8
IT_IS_FURTHER_ORDERED_that_this_Judgment_of_Custody;Parenting_Time;and;Node;Violation;Kind_violation,8
IT_IS_FURTHER_ORDERED_that_the_Ex_Parte_Order_for_Custody;Parenting;Node;Violation;Kind_violation,8
Node;Violation;address_legal_custody_concems;Kind_violation,8
Node;Violation;evidence_that_Defendant_Mother_shall_have_sole_physical_custody_of_the_minor_child;Kind_violation,8
L_6_Address;Employment_Status;Health_Insurance_Both_parties_shall_notify_the_friend_of_the_court_in_writing_of_a_their;Node;Violation;Kind_violation,8
IT_IS_FURTHER_ORDERED_that_the_Court_has_evaluated_the_Best_Interest;Node;Violation;Kind_violation,8
Node;Obligation_Ends_Except_for_child_care;or_as_otherwise_ordered;support_obligations_for_each_child_end_on_the_last_day;Violation;Kind_violation,8
Node;Violation;findings_by_the_court;Kind_violation,8
L_18_years_of_age_Therefore;the_support_obligation_for_each_specific_child_ends_on_the_last_day_of_the_month_as;Node;Violation;Kind_violation,8
L_8_Redirection_and_Abatement_As_provided_by_MCL_552_605d_and_subject_to_statutory_procedures;the_friend_of_the_court;Node;Violation;Kind_violation,8
Node;Violation;under_the_payer_s_support_order;Kind_violation,8
Node;Violation;by_MCL_552_603;support_is_a_judgment_the_date_it_is_due_and_is_not_modifiable_retroactively_A_surcharge_may_be;Kind_violation,8
Children_supported_1_child_2_children_3_children_4_children_5_or_more_children;Node;Violation;Kind_violation,8
Node;Violation;to_the_court_Support_charges_shall_be_reinstated_effective_60_days_after_the_incapacitation_ends_The_office_shall;Kind_violation,7
Node;Violation;unless_specified_differently_in_this_order;Kind_violation,7
Node;Violation;and_encourage_a_close_and_continuing_parent_child_relationship_between;Kind_violation,7
L_29_USC_1169_To_qualify_this_order;the_friend_of_the_court_shall_issue_a_notice_to_enroll_pursuant_to_MCL_552_626b_A;Authority;Node;Violation;Kind_violation,7
L_4_Qualified_Medical_Support_Order_This_order_is_a_qualified_medical_support_order_with_immediate_effect_pursuant_to;Node;Violation;Kind_violation,7
July_17;L_2024;parenting_time_shall_be_as_follows;Node;Violation;Kind_violation,7
