type,count
authority,15343
keyword,7309
violation,3472
MCR,653
BENCHBOOK,434
fact_event,332
module,241
fact,113
authority_hub,112
WDMI_LR,106
other,79
MRPC,60
document,57
remedy,51
page,42
form,42
hub,38
case,37
date,22
actor,21
MCL,16
procedure,16
procedure_step,15
element,15
benchbook_section,12
category,11
FORM,11
evidence,10
jury_instruction,10
process,10
MRE,8
defense,6
STANDARD,5
plan,5
venue,5
statement,5
case_container,4
AUTHORITY,4
LAO,4
ocr_needed,4
ADMIN_RULE,4
allegation,3
checklist,3
contradiction,3
JUDICIAL_CONDUCT,2
right,2
order,2
employment,2
system_manifest,2
system_hub,2
nucleus,1
ADMIN_ORDER,1
transcript,1
transcript_cert,1
MCJC,1
