date_raw,date_norm,relpath,line_no,context
2025-07-03,2025-07-03,ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/contradiction_map_normalized.csv,7,"CM-20260123-00006,MISSING_EXHIBIT_PLACEHOLDER,Exhibit D-1 Security Camera Photos (Attempted Break-in ~2025-07-03) [PLACEHOLDER],SRC-00001,SRC-00001 NORM_TEXT line 74,OPEN,Acquire the referenced exhibit; atomize as Eviden"
2025-07-03,2025-07-03,ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/contradiction_map_normalized.csv,21,"CM-20260123-00020,MISSING_EXHIBIT_PLACEHOLDER,Exhibit D-1 Security Camera Photos (Attempted Break-in ~2025-07-03) [PLACEHOLDER],SRC-00008,SRC-00008 NORM_TEXT line 60,OPEN,Acquire the referenced exhibit; atomize as Eviden"
2025-07-03,2025-07-03,ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/contradiction_map_normalized.csv,49,"CM-20260123-00048,MISSING_EXHIBIT_PLACEHOLDER,Exhibit D-1 Security Camera Photos (Attempted Break-in ~2025-07-03) [PLACEHOLDER],SRC-00040,SRC-00040 NORM_TEXT line 63,OPEN,Acquire the referenced exhibit; atomize as Eviden"
2025-07-03,2025-07-03,ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/contradiction_map_normalized.csv,63,"CM-20260123-00062,MISSING_EXHIBIT_PLACEHOLDER,Exhibit D-1 Security Camera Photos (Attempted Break-in ~2025-07-03) [PLACEHOLDER],SRC-00040,SRC-00040 NORM_TEXT line 140,OPEN,Acquire the referenced exhibit; atomize as Evide"
2025-07-03,2025-07-03,ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/contradiction_map_normalized.csv,77,"CM-20260123-00076,MISSING_EXHIBIT_PLACEHOLDER,Exhibit D-1 Security Camera Photos (Attempted Break-in ~2025-07-03) [PLACEHOLDER],SRC-00040,SRC-00040 NORM_TEXT line 247,OPEN,Acquire the referenced exhibit; atomize as Evide"
2025-07-03,2025-07-03,ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/contradiction_map_normalized.csv,91,"CM-20260123-00090,MISSING_EXHIBIT_PLACEHOLDER,Exhibit D-1 Security Camera Photos (Attempted Break-in ~2025-07-03) [PLACEHOLDER],SRC-00040,SRC-00040 NORM_TEXT line 381,OPEN,Acquire the referenced exhibit; atomize as Evide"
2025-07-03,2025-07-03,ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/contradiction_map_normalized.csv,105,"CM-20260123-00104,MISSING_EXHIBIT_PLACEHOLDER,Exhibit D-1 Security Camera Photos (Attempted Break-in ~2025-07-03) [PLACEHOLDER],SRC-00040,SRC-00040 NORM_TEXT line 515,OPEN,Acquire the referenced exhibit; atomize as Evide"
2025-07-03,2025-07-03,ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/contradiction_map_normalized.csv,119,"CM-20260123-00118,MISSING_EXHIBIT_PLACEHOLDER,Exhibit D-1 Security Camera Photos (Attempted Break-in ~2025-07-03) [PLACEHOLDER],SRC-00040,SRC-00040 NORM_TEXT line 672,OPEN,Acquire the referenced exhibit; atomize as Evide"
2025-07-03,2025-07-03,ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/contradiction_map_normalized.csv,133,"CM-20260123-00132,MISSING_EXHIBIT_PLACEHOLDER,Exhibit D-1 Security Camera Photos (Attempted Break-in ~2025-07-03) [PLACEHOLDER],SRC-00040,SRC-00040 NORM_TEXT line 1937,OPEN,Acquire the referenced exhibit; atomize as Evid"
12/4/2025,2025-12-04,ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/contradiction_map_normalized.csv,142,"CM-20260123-00141,MISSING_EXHIBIT_PLACEHOLDER,""""""success"""", """"run_id"""": """"56d746ae-4d30-4bc5-a2d7-95b8764a1e20"""", """"start_time"""": 1757613310.960754, """"update_time"""": 1757613315.8288693, """"code"""": """"# Properly rename the "
04/22/2025,2025-04-22,ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/contradiction_map_normalized.csv,142,"CM-20260123-00141,MISSING_EXHIBIT_PLACEHOLDER,""""""success"""", """"run_id"""": """"56d746ae-4d30-4bc5-a2d7-95b8764a1e20"""", """"start_time"""": 1757613310.960754, """"update_time"""": 1757613315.8288693, """"code"""": """"# Properly rename the "
04/22/2025,2025-04-22,ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/contradiction_map_normalized.csv,142,"CM-20260123-00141,MISSING_EXHIBIT_PLACEHOLDER,""""""success"""", """"run_id"""": """"56d746ae-4d30-4bc5-a2d7-95b8764a1e20"""", """"start_time"""": 1757613310.960754, """"update_time"""": 1757613315.8288693, """"code"""": """"# Properly rename the "
05/16/2025,2025-05-16,ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/contradiction_map_normalized.csv,142,"CM-20260123-00141,MISSING_EXHIBIT_PLACEHOLDER,""""""success"""", """"run_id"""": """"56d746ae-4d30-4bc5-a2d7-95b8764a1e20"""", """"start_time"""": 1757613310.960754, """"update_time"""": 1757613315.8288693, """"code"""": """"# Properly rename the "
