relpath,ext,bytes,mtime,crc32,mb
ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/tail_preview.txt,.txt,138413479,1770586908,20123153,132.00137996673584
ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/contradiction_map_normalized.csv,.csv,36449309,1770586907,867893af,34.760769844055176
MEEK2_CUSTODY_LITIGATION_PACK/Emily_ExParte_Attachments.zip,.zip,17226286,1770586906,ba7d95cf,16.428266525268555
Emily_ExParte_Attachments/20250812_215509.jpg,.jpg,8742729,1770586906,3179b1ec,8.337716102600098
MEEK2_CUSTODY_LITIGATION_PACK/Emily_ExParte_Attachments.zip__unz/20250812_215509.jpg,.jpg,8742729,1770586908,3179b1ec,8.337716102600098
Emily_ExParte_Attachments/20250812_215733.jpg,.jpg,8480353,1770586906,3ebc9b0a,8.087494850158691
MEEK2_CUSTODY_LITIGATION_PACK/Emily_ExParte_Attachments.zip__unz/20250812_215733.jpg,.jpg,8480353,1770586908,3ebc9b0a,8.087494850158691
ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/nodes_merged_label_counts.csv,.csv,1047470,1770586907,3087ce17,0.9989452362060547
ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/nodes_neo4j_admin_label_counts.csv,.csv,668002,1770586907,9fc4d556,0.6370563507080078
MEEK2_CUSTODY_LITIGATION_PACK/Pigors_Transcript.pdf,.pdf,334799,1770586906,9eb55e52,0.3192892074584961
MEEK234_FULLSTACK_REBUILD_PACK_v20260208/MEEK234_FULLSTACK_REBUILD_v20260208.py,.py,43661,1770586908,dbea01c0,0.04163837432861328
ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_REPORT.md,.md,9325,1770586906,3041ef43,0.008893013000488281
MEEK234_FULLSTACK_REBUILD_PACK_v20260208/MEEK234_REBUILD_SPEC_v20260208.md,.md,3403,1770586908,a3c3d03e,0.0032453536987304688
ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/JTC_PrintOrder_keypages_p498.txt,.txt,1757,1770586906,51eb70a2,0.0016756057739257812
ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/JTC_PrintOrder_keypages_p2.txt,.txt,1096,1770586906,8ddb5437,0.00104522705078125
ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/supplement_docx_extracted.txt,.txt,765,1770586907,a60148a5,0.0007295608520507812
ATTACHMENT_HARVEST_20260208/ATTACHMENT_HARVEST_20260208/authority_canonical_prefix_counts.csv,.csv,31,1770586906,7b53c400,2.956390380859375e-05
