filename,file_size,compress_size,date_time,is_dir
neo4j_nodes.csv,33079622,1082539,2026-01-29 03:45:24,False
s.csv,33079622,1082539,2025-11-09 19:45:40,False
NUCLEUS_APEX_SUPERGRAPH_20250908_030140_nodes.csv,18699765,1002855,1980-01-01 08:00:00,False
authority_index.csv,16990900,598391,2026-01-08 09:02:58,False
ETERNAL_SUPERGRAPH_MASTER_nodes.csv,15489000,905784,2025-09-17 14:37:58,False
litigation_wheel_graph_plus_SUPREME_FUSION_AUTOFINDER.html,11237785,130162,2026-01-16 22:51:18,False
litigation_graph_edges_tokens (4) (1).csv,10687094,1239791,2026-01-16 22:46:14,False
ai_brain_nucleus_all_offline_v2(0).html,9228015,271114,2026-01-22 02:26:34,False
graph (2).html,9046060,1093111,2026-01-16 22:45:40,False
NUCLEUS_APEX_SUPERGRAPH_20250908_030140.graphml.xml,73972222,2353425,2026-01-18 11:39:34,False
nodes_normalized.csv,47276395,1505767,2026-01-26 14:52:38,False
