attr_key,count_in_sample
id,9444
label,9444
type,9248
citation,3244
date,3244
tag,3244
source,3063
actors,3049
amounts_detected,3049
case_no,3049
citations,3049
code,3049
color,3049
context,3049
court_to_file,3049
date_of_violation,3049
defenses,3049
elements,3049
group,3049
has_health_insurance_terms,3049
legal_pathways,3049
linked_cases,3049
linked_forms,3049
meta,3049
overnights_detected,3049
page,3049
pages,3049
parties_detected,3049
path,3049
persons_involved,3049
plan,3049
raw,3049
remedies,3049
remedy,3049
requested_relief,3049
size,3049
snippet,3049
source_info,3049
source_pdf,3049
text,3049
text_excerpt,3049
title,3049
url,3049
venues,3049
violation_desc,3049
orbit,933
status,209
cluster,195
exhibit,195
hub,195
x,195
y,195
case_ids,14
created_ts,14
ns,14
phase,14
tags,14
dates_detected,5
