column,nonnull,total,fill_rate
:LABEL,62027,62027,1.0
__deg,62027,62027,1.0
:ID,62026,62027,0.9999838779886179
name,62026,62027,0.9999838779886179
attributes_json,48901,62027,0.7883824785980299
first_seen_in,48901,62027,0.7883824785980299
has_date,48901,62027,0.7883824785980299
meta,12269,62027,0.1978009576474761
size,11926,62027,0.19227110774340206
id:ID,11767,62027,0.1897077079336418
meta:json,11767,62027,0.1897077079336418
size:int,11767,62027,0.1897077079336418
citation,8177,62027,0.13182968707175907
tags,7754,62027,0.12501007625711383
orbit,4909,62027,0.07914295387492544
effective_date,1309,62027,0.021103712899221305
jurisdiction,1309,62027,0.021103712899221305
parent_id,1309,62027,0.021103712899221305
rev,1309,62027,0.021103712899221305
source_url,1309,62027,0.021103712899221305
status,1309,62027,0.021103712899221305
tag,1034,62027,0.016670159769132796
cluster,1010,62027,0.016283231495961437
hub,1010,62027,0.016283231495961437
x,1010,62027,0.016283231495961437
y,1010,62027,0.016283231495961437
actors,533,62027,0.008593032066680639
citations,533,62027,0.008593032066680639
remedies,533,62027,0.008593032066680639
source,533,62027,0.008593032066680639
venues,533,62027,0.008593032066680639
page,215,62027,0.0034662324471601076
raw,106,62027,0.001708933206506844
color,60,62027,0.0009673206829284021
amounts_detected,54,62027,0.0008705886146355619
has_health_insurance_terms,54,62027,0.0008705886146355619
overnights_detected,54,62027,0.0008705886146355619
parties_detected,54,62027,0.0008705886146355619
source_pdf,54,62027,0.0008705886146355619
text_excerpt,51,62027,0.0008222225804891418
code,35,62027,0.0005642703983749013
date,22,62027,0.0003546842504070808
Unnamed: 42,10,62027,0.00016122011382140036
text,6,62027,9.673206829284021e-05
url,6,62027,9.673206829284021e-05
snippet,3,62027,4.8366034146420105e-05
pages,1,62027,1.6122011382140035e-05
path,1,62027,1.6122011382140035e-05
rel,1,62027,1.6122011382140035e-05
source_id,1,62027,1.6122011382140035e-05
target_id,1,62027,1.6122011382140035e-05
exhibit,0,62027,0.0
hash,0,62027,0.0
