range,kinds,share_kinds,items_total,share_items
1-1,0,0.0,0,0.0
2-2,0,0.0,0,0.0
3-5,3,0.04918032786885246,15,7.00639917791583e-05
6-10,1,0.01639344262295082,9,4.203839506749498e-05
11-50,20,0.32786885245901637,486,0.0022700733336447287
51-100,13,0.21311475409836064,954,0.004456069877154468
101-500,8,0.13114754098360656,1461,0.006824232799290018
501-1000,3,0.04918032786885246,2156,0.010070531085057685
1001-10000,4,0.06557377049180328,16881,0.07885001634826475
10001+,9,0.14754098360655737,192128,0.8974169741697416
