edge_type,count,share
part_of,36355,0.16981176140875331
member_of,33206,0.15510299406791536
categorized_as,27541,0.12864215983931993
seeks,25696,0.12002428885048344
cites,18870,0.08814050165818114
BELONGS_TO,16887,0.07887804194497641
through,12472,0.05825587369797749
categorizes,10758,0.050249894904012334
REMEDIED_BY,10343,0.048311457798122286
spoke_link,7126,0.033285067027885466
venue,5396,0.02520435330935588
belongs_to,3191,0.014904946517819609
authority_of,1168,0.005455649493203793
includes,1000,0.00467093278527722
RELATES_TO,630,0.0029426876547246484
on_page,526,0.0024569106450558174
related_to,370,0.0017282451305525714
crosswalk,215,0.0010042505488346023
implicates,175,0.0008174132374235135
contains,156,0.0007286655145032463
category_of,155,0.0007239945817179691
index_of,140,0.0006539305899388107
guided_by,135,0.0006305759260124247
contradicts,115,0.0005371572703068803
case_of,100,0.000467093278527722
on,97,0.00045308048017189033
involves,96,0.0004484095473866131
interprets,85,0.00039702928674856366
describes,76,0.00035499089168106873
next,72,0.00033630716053995984
authorized_by,68,0.00031762342939885095
actor_link,66,0.00030828156382829654
ethics_related,60,0.0002802559671166332
requires,60,0.0002802559671166332
includes_step,60,0.0002802559671166332
controlled_by,60,0.0002802559671166332
references,54,0.00025223037040496987
controls,45,0.00021019197533747488
trigger,45,0.00021019197533747488
chapter_of,40,0.00018683731141108878
catalog,36,0.00016815358026997992
topic_of,35,0.00016348264748470269
section_of,30,0.0001401279835583166
evidence-of,27,0.00012611518520248493
governed_by,25,0.0001167733196319305
stage_of,25,0.0001167733196319305
instruction_of,25,0.0001167733196319305
responds_to,24,0.00011210238684665328
nucleus_link,22,0.00010276052127609884
flags,17,7.940585734971274e-05
seeks_form,16,7.473492456443552e-05
jurisdiction_of,15,7.00639917791583e-05
evidences,12,5.605119342332664e-05
needs_ocr,12,5.605119342332664e-05
supported_by,12,5.605119342332664e-05
SUPPORTED_BY,12,5.605119342332664e-05
petal,11,5.138026063804942e-05
covers,9,4.203839506749498e-05
remedy_against,5,2.3354663926386098e-05
manifests,5,2.3354663926386098e-05
violation_pathway,5,2.3354663926386098e-05
