range,kinds,share_kinds,items_total,share_items
1-1,2,0.03076923076923077,2,4.982188675485141e-05
2-2,8,0.12307692307692308,16,0.00039857509403881127
3-5,11,0.16923076923076924,43,0.0010711705652293052
6-10,7,0.1076923076923077,55,0.0013701018857584138
11-50,12,0.18461538461538463,257,0.0064021124479984055
51-100,13,0.2,788,0.019629823381411456
101-500,7,0.1076923076923077,1776,0.04424183543830805
501-1000,0,0.0,0,0.0
1001-10000,4,0.06153846153846154,22259,0.5544926886381187
10001+,1,0.015384615384615385,14947,0.372343870662382
