kind,type,jaccard
Authority,authority,1.0
Authority,AUTHORITY,1.0
Authority,authority_hub,0.5
Benchbook,BENCHBOOK,1.0
Benchbook,benchbook_section,0.5
Date,date,1.0
Defense,defense,1.0
Element,element,1.0
Form,form,1.0
Form,FORM,1.0
MCL,MCL,1.0
MCR,MCR,1.0
Remedy,remedy,1.0
actor,actor,1.0
allegation,allegation,1.0
authority,authority,1.0
authority,AUTHORITY,1.0
authority,authority_hub,0.5
authority:MCL,authority,0.5
authority:MCL,MCL,0.5
authority:MCL,AUTHORITY,0.5
authority:MCL,authority_hub,0.3333333333333333
authority:MCR,authority,0.5
authority:MCR,MCR,0.5
authority:MCR,AUTHORITY,0.5
authority:MCR,authority_hub,0.3333333333333333
authority_hub,authority_hub,1.0
authority_hub,hub,0.5
authority_hub,authority,0.5
authority_hub,AUTHORITY,0.5
benchbook_section,benchbook_section,1.0
benchbook_section,BENCHBOOK,0.5
case,case,1.0
case,case_container,0.5
case_container,case_container,1.0
case_container,case,0.5
category,category,1.0
checklist,checklist,1.0
contradiction,contradiction,1.0
date,date,1.0
defense,defense,1.0
document,document,1.0
element,element,1.0
employment,employment,1.0
evidence,evidence,1.0
evidence_pdf,evidence,0.5
fact,fact,1.0
fact,fact_event,0.5
form,form,1.0
form,FORM,1.0
form:SCAO,form,0.5
form:SCAO,FORM,0.5
hub,hub,1.0
hub,system_hub,0.5
hub,authority_hub,0.5
jury_instruction,jury_instruction,1.0
keyword,keyword,1.0
module,module,1.0
nucleus,nucleus,1.0
ocr_needed,ocr_needed,1.0
order,order,1.0
order,ADMIN_ORDER,0.5
other,other,1.0
page,page,1.0
plan,plan,1.0
procedure,procedure,1.0
procedure,procedure_step,0.5
procedure_step,procedure_step,1.0
procedure_step,procedure,0.5
process,process,1.0
remedy,remedy,1.0
right,right,1.0
statement,statement,1.0
system_hub,system_hub,1.0
system_hub,hub,0.5
system_hub,system_manifest,0.3333333333333333
system_hub,authority_hub,0.3333333333333333
system_manifest,system_manifest,1.0
system_manifest,system_hub,0.3333333333333333
transcript,transcript,1.0
transcript,transcript_cert,0.5
transcript_cert,transcript_cert,1.0
transcript_cert,transcript,0.5
venue,venue,1.0
violation,violation,1.0
