property_key,count_in_sample
has_date,7993
first_seen_in,7993
attributes_json,7993
tags,2693
meta,2001
degree_total,1946
in_degree,1946
out_degree,1946
kind,1946
name,1946
props,1946
size,1940
id:ID,1865
size:int,1865
meta:json,1865
citation,1321
orbit,755
status,189
effective_date,189
source_url,189
rev,189
jurisdiction,189
parent_id,189
tag,151
cluster,150
hub,150
x,150
y,150
actors,80
citations,80
remedies,80
venues,80
source,80
page,35
raw,21
color,15
code,10
source_pdf,3
parties_detected,3
amounts_detected,3
overnights_detected,3
has_health_insurance_terms,3
text_excerpt,3
date,3
url,1
text,1
