zip_member,bytes,crc32
NUCLEUS_APEX_POSTER_BLUEPRINT_V3_2_PACK_20260208_2039.zip,31989279,14a6ba3f
NUCLEUS_APEX_POSTER_BLUEPRINT_V3_3_20260208_2124.pdf,17827256,5cdaab4a
NUCLEUS_APEX_V3_3_RUN_20260208_2124/case_pack_assets/20250812_215509.jpg,8742729,3179b1ec
NUCLEUS_APEX_V3_3_RUN_20260208_2124/case_pack_assets/20250812_215733.jpg,8480353,3ebc9b0a
NUCLEUS_APEX_V3_3_RUN_20260208_2124/case_pack_assets/Pigors_Transcript.pdf,334799,9eb55e52
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/bloom_heading_level_counts.csv,43,e14f9d19
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/bloom_toc_excerpt_250.csv,10859,6144587b
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/bloom_toc_full.csv,177430,6aa98d5e
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/contradiction_status_counts.csv,22,b96c1376
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/contradiction_type_counts.csv,43,250a2175
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/edge_coverage.csv,226,d92677fc
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/edge_tail_buckets.csv,518,d15fe664
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/exparte_image_metadata.csv,361,0fae8284
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/graphml_edge_type_counts.csv,2223,e8daa611
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/graphml_kind_counts.csv,2212,daa72716
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/graphml_tag_token_counts.csv,149,66a324fd
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/kind_coverage.csv,223,b7caf56e
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/kind_tail_buckets.csv,534,8ea400c4
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/kind_type_crosswalk_candidates.csv,2080,f066c7e0
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/neo4j_import_snippets.cypher,937,cd5ef98c
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/nodes_normalized_propertykey_freq_sample.csv,605,77480ec9
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/nodes_normalized_propertykey_freq_sample_meta.json,39,4a346ee6
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/nodes_normalized_type_counts.csv,673,3b0d5df3
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/run_manifest_crc32.csv,2562,5c6cb97d
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/run_summary.json,876,e49b5310
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/transcript_candidate_lines.csv,964,e30acfc3
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/transcript_case_candidates.csv,43,3e7be46e
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/transcript_date_candidates.csv,1,32d70693
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/transcript_fulltext.txt,5990,87fbec44
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/transcript_keyword_hits.csv,403,4eca9abc
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/transcript_metadata.json,1049,61205178
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/transcript_name_candidates.csv,510,74221b97
NUCLEUS_APEX_V3_3_RUN_20260208_2124/metrics_v3_3/zip_inventory.csv,507,b0bd9279
NUCLEUS_APEX_V3_3_RUN_20260208_2124/unpack/Emily_ExParte_Attachments/20250812_215509.jpg,8742729,3179b1ec
NUCLEUS_APEX_V3_3_RUN_20260208_2124/unpack/Emily_ExParte_Attachments/20250812_215733.jpg,8480353,3ebc9b0a
NUCLEUS_APEX_V3_3_RUN_20260208_2124/unpack/MEEK2_CUSTODY_LITIGATION_PACK/Emily_ExParte_Attachments.zip,17226286,ba7d95cf
NUCLEUS_APEX_V3_3_RUN_20260208_2124/unpack/MEEK2_CUSTODY_LITIGATION_PACK/Pigors_Transcript.pdf,334799,9eb55e52
NUCLEUS_APEX_V3_3_RUN_20260208_2124/unpack/MEEK2_CUSTODY_LITIGATION_PACK/_nested_Emily_ExParte_Attachments/20250812_215509.jpg,8742729,3179b1ec
NUCLEUS_APEX_V3_3_RUN_20260208_2124/unpack/MEEK2_CUSTODY_LITIGATION_PACK/_nested_Emily_ExParte_Attachments/20250812_215733.jpg,8480353,3ebc9b0a
mbp_worldfirst_builder_poster_v3_3_20260208_2124.py,6709,ffb87c79
