property_key,count_in_sample
id,14998
label,14998
type,14707
citation,5127
date,5127
tag,5127
source,4858
group,4837
actors,4836
amounts_detected,4836
case_no,4836
citations,4836
code,4836
color,4836
context,4836
court_to_file,4836
date_of_violation,4836
defenses,4836
elements,4836
has_health_insurance_terms,4836
legal_pathways,4836
linked_cases,4836
linked_forms,4836
meta,4836
overnights_detected,4836
page,4836
pages,4836
parties_detected,4836
path,4836
persons_involved,4836
plan,4836
raw,4836
remedies,4836
remedy,4836
requested_relief,4836
size,4836
snippet,4836
source_info,4836
source_pdf,4836
text,4836
text_excerpt,4836
title,4836
url,4836
venues,4836
violation_desc,4836
orbit,1506
status,313
cluster,291
exhibit,291
hub,291
x,291
y,291
case_ids,22
created_ts,22
ns,22
phase,22
tags,22
dates_detected,9
