label,count
planned,310
"Judgment  Custody,  PT, CS 2024-001507-DC",22
PROOF OF SERVICE,21
"HON. JENNY L. MCNEILL,",20
Circuit Court Judge,20
"Judgment  Custody,  PT, CS2024-001507-DC",16
Court address,16
Court,13
"Custody,  Parenting  Time, and Child Support Following  Facilitative  Information",12
"Obj Ex Part Order Custody,  PT, CS 2024-001507-DC",11
Uniform  Child Support  Order (7/21 ),10
Hon. Jenny L. McNeill,10
"2023-5907-PP Hon. Judge Jenny L McNeill My court-ordered  weekend  parenting  time (November  7-10, 2024). s Halloween  …",10
CUSTODY,10
Court.,9
The Court finds that both parents have a strong bond with the minor child. This,9
the child and the other parent.,9
also file a motion to modify this support order.,9
net cost of adding the children to the parent's coverage,8
"specifically  referencing  the PPO, the police reports, and the testimony  regarding",8
address legal custody concems.,8
under the payer's support order.,8
all during the parenting  time exchanges.,8
"week off parenting  time, due to the temporary  Order, and since the minor child is",8
AND PROOF OF SERVICE,8
"29 USC 1169. To qualify this order, the friend of the court shall issue a notice to enroll pursuant  to MCL 552.626b.  A",7
"IT IS FURTHER  ORDERED  that this Judgment  of Custody,  Parenting  Time, and",7
"IT IS FURTHER  ORDERED  that the Ex Parte Order for Custody,  Parenting",7
MCR 2.119,7
"July 17, 2024, parenting  time shall be as follows:",7
findings by the court.,7
sole legal custody.,6
IT IS FURTHER  ORDERED  that the Court has evaluated  the Best Interest,6
1. Any other factor considered  as relevant  to this custody  dispute.,6
CHILD SUPPORT,6
MCR 2.107,6
9. Fees. The payer of support shall pay statutory  and service fees as required by law.,6
MCR 2.105,6
MCR 2.302,6
At a session of said Court held at the County Building,6
when that coverage  is accessible  to the child and available  at a reasonable  cost. The reasonable  cost is the parent's,6
"Judgment Custody, PT, CS2024-001507-DC",6
custody of the minor child.,6
IT IS FURTHER  ORDERED  that the Court finds by clear and convincing,6
"2024, the Court ruled as follows:",6
MCR 3.707,5
FRCP 2,5
FRCP 1,5
and Child Support.,5
COURT ORDERED  JUDGMENT  OF,5
FRCP 7,5
MCR 2.401,5
FRCP 9,5
This Factor is a combination  of all of the testimony  and evidence.  The Court is,5
FRCP 69,5
throughout  the course of this case and for which the Court has instructed  him the,5
FRCP 42,5
FRCP 66,5
FRCP 65,5
FRCP 67,5
MCR 9.224,5
MCR 9.225,5
MCR 9.220,5
MCR 2.116,5
FRCP 5,5
MCR 9.212,5
FRCP 8,5
28 U.S.C. § 1391 (Venue),5
MRE 807,5
MCR 9.211,5
or seized if an arrearage  accrues in an amount greater than the periodic support payments  payable for two months,5
MCR 9.221,5
FRCP 6,5
FRCP 3,5
MCR 9.210,5
Friend ofthe court,5
FRCP 68,5
MCR 9.222,5
MCR 9.223,5
Base Support: (includes  support plus or minus premium  adjustment  for health-care  insurance),5
Children supported:  1 child 2 children 3 children 4 children 5 or more children,5
friend of the court is not required to act on more than one request received from a party each 36 months. A party may,5
The Court finds that Plaintiff/Father  is currently  self-employed  and was recently,5
FRCP 64,5
