type,count
nan,33257
authority,15343
keyword,7309
violation,3472
MCR,653
BENCHBOOK,434
fact_event,332
module,241
fact,113
authority_hub,112
WDMI_LR,106
other,79
MRPC,60
document,57
remedy,51
page,42
form,42
hub,38
case,37
date,22
actor,21
procedure,16
MCL,16
procedure_step,15
element,15
benchbook_section,12
FORM,11
category,11
jury_instruction,10
process,10
evidence,10
MRE,8
defense,6
statement,5
STANDARD,5
venue,5
plan,5
case_container,4
ADMIN_RULE,4
ocr_needed,4
LAO,4
AUTHORITY,4
allegation,3
checklist,3
contradiction,3
right,2
order,2
system_manifest,2
JUDICIAL_CONDUCT,2
system_hub,2
employment,2
nucleus,1
ADMIN_ORDER,1
transcript_cert,1
transcript,1
MCJC,1
