source_dir,file,stream,kind,cite
EXTRACTED_TEXT,CORE_PDFS/02_Objection_to_Ex_Parte_Order.txt,MEEK1,MCR,MCR 3.207(B)(5)
EXTRACTED_TEXT,CORE_PDFS/02_Objection_to_Ex_Parte_Order.txt,MEEK1,MCR,"MCR
1.109(E)(7)"
EXTRACTED_TEXT,CORE_PDFS/03_Brief_in_Support_Motion_Vacate.txt,MEEK1,MCR,MCR 3.207(B)(1)
EXTRACTED_TEXT,CORE_PDFS/03_Brief_in_Support_Motion_Vacate.txt,MEEK1,MCR,"MCR
3.210(C)"
EXTRACTED_TEXT,CORE_PDFS/03_Brief_in_Support_Motion_Vacate.txt,MEEK1,MCR,"MCR
2.602(A)(3)"
EXTRACTED_TEXT,CORE_PDFS/03_Brief_in_Support_Motion_Vacate.txt,MEEK1,MCR,MCR 2.107
EXTRACTED_TEXT,CORE_PDFS/03_Brief_in_Support_Motion_Vacate.txt,MEEK1,MCL,MCL 722.27a
EXTRACTED_TEXT,CORE_PDFS/Proposed_Order_Vacate_Ex_Parte_PT_Suspension.txt,MEEK1,MCR,MCR 3.207(B)
EXTRACTED_TEXT,CORE_PDFS/Motion_WITH_EXHIBITS_XREF_UPDATED.txt,MEEK1,MCR,MCR 1.109(E)(7)
EXTRACTED_TEXT,CORE_PDFS/Motion_WITH_EXHIBITS_XREF_UPDATED.txt,MEEK1,MCR,"MCR
3.207(B)(1)"
EXTRACTED_TEXT,CORE_PDFS/Motion_WITH_EXHIBITS_XREF_UPDATED.txt,MEEK1,MCR,"MCR
2.602(A)(3)"
EXTRACTED_TEXT,CORE_PDFS/Motion_WITH_EXHIBITS_XREF_UPDATED.txt,MEEK1,MCR,MCR 3.210(C)
EXTRACTED_TEXT,CORE_PDFS/Motion_WITH_EXHIBITS_XREF_UPDATED.txt,MEEK1,MCR,MCR 2.107(A)(1)
EXTRACTED_TEXT,CORE_PDFS/Motion_WITH_EXHIBITS_XREF_UPDATED.txt,MEEK1,MCR,"MCR
3.207(B)(5)"
EXTRACTED_TEXT,CORE_PDFS/Motion_WITH_EXHIBITS_XREF_UPDATED.txt,MEEK1,MCR,MCR 1.109(E)(7)
EXTRACTED_TEXT,CORE_PDFS/Motion_WITH_EXHIBITS_XREF_UPDATED.txt,MEEK1,MCL,"MCL
600.2591"
EXTRACTED_TEXT,CORE_PDFS/Motion_WITH_EXHIBITS_XREF_UPDATED.txt,MEEK1,MCL,MCL 722.27a
EXTRACTED_TEXT,CORE_PDFS/Motion_WITH_EXHIBITS_XREF_UPDATED.txt,MEEK1,MCL,MCL 722.27a
EXTRACTED_TEXT,CORE_PDFS/Motion_WITH_EXHIBITS_XREF_UPDATED.txt,MEEK1,MCL,MCL 600.2591
EXTRACTED_TEXT,MIFILE_UPLOAD/02_Objection.txt,MEEK1,MCR,MCR 3.207(B)(5)
EXTRACTED_TEXT,MIFILE_UPLOAD/02_Objection.txt,MEEK1,MCR,"MCR
1.109(E)(7)"
EXTRACTED_TEXT,MIFILE_UPLOAD/03_Motion_to_Vacate.txt,MEEK1,MCR,MCR 1.109(E)(7)
EXTRACTED_TEXT,MIFILE_UPLOAD/03_Motion_to_Vacate.txt,MEEK1,MCR,"MCR
3.207(B)(1)"
EXTRACTED_TEXT,MIFILE_UPLOAD/03_Motion_to_Vacate.txt,MEEK1,MCR,"MCR
2.602(A)(3)"
EXTRACTED_TEXT,MIFILE_UPLOAD/03_Motion_to_Vacate.txt,MEEK1,MCR,MCR 3.210(C)
EXTRACTED_TEXT,MIFILE_UPLOAD/03_Motion_to_Vacate.txt,MEEK1,MCR,MCR 2.107(A)(1)
EXTRACTED_TEXT,MIFILE_UPLOAD/03_Motion_to_Vacate.txt,MEEK1,MCR,"MCR
3.207(B)(5)"
EXTRACTED_TEXT,MIFILE_UPLOAD/03_Motion_to_Vacate.txt,MEEK1,MCR,MCR 1.109(E)(7)
EXTRACTED_TEXT,MIFILE_UPLOAD/03_Motion_to_Vacate.txt,MEEK1,MCL,"MCL
600.2591"
EXTRACTED_TEXT,MIFILE_UPLOAD/03_Motion_to_Vacate.txt,MEEK1,MCL,MCL 722.27a
