source_dir,file,stream,topic
EXTRACTED_TEXT,CORE_PDFS/00_Filing_Cover_Sheet.txt,MEEK1,housing_violation
EXTRACTED_TEXT,CORE_PDFS/01_Notice_of_Hearing_and_Motion_Title.txt,MEEK1,housing_violation
EXTRACTED_TEXT,CORE_PDFS/02_Objection_to_Ex_Parte_Order.txt,MEEK1,housing_violation
EXTRACTED_TEXT,CORE_PDFS/03_Brief_in_Support_Motion_Vacate.txt,MEEK1,housing_violation
EXTRACTED_TEXT,CORE_PDFS/04_Proof_of_Service_Motion_Package.txt,MEEK1,housing_violation
EXTRACTED_TEXT,CORE_PDFS/Affidavit_of_Andrew_J_Pigors_SWORN.txt,MEEK1,housing_violation
EXTRACTED_TEXT,CORE_PDFS/Proposed_Order_Vacate_Ex_Parte_PT_Suspension.txt,MEEK1,housing_violation
EXTRACTED_TEXT,CORE_PDFS/Motion_WITH_EXHIBITS_XREF_UPDATED.txt,MEEK1,housing_violation
EXTRACTED_TEXT,MIFILE_UPLOAD/01_Notice.txt,MEEK1,housing_violation
EXTRACTED_TEXT,MIFILE_UPLOAD/02_Objection.txt,MEEK1,housing_violation
EXTRACTED_TEXT,MIFILE_UPLOAD/03_Motion_to_Vacate.txt,MEEK1,housing_violation
EXTRACTED_TEXT,MIFILE_UPLOAD/04_Brief_in_Support.txt,MEEK1,housing_violation
EXTRACTED_TEXT,MIFILE_UPLOAD/05_Affidavit.txt,MEEK1,housing_violation
EXTRACTED_TEXT,MIFILE_UPLOAD/06_Proposed_Order.txt,MEEK1,housing_violation
EXTRACTED_TEXT,MIFILE_UPLOAD/15_Proof_of_Service.txt,MEEK1,housing_violation
EXTRACTED_TEXT,MOTIONS_PDFS/Motion_Vacate_Footnoted.txt,MEEK1,housing_violation
EXTRACTED_TEXT,MOTIONS_PDFS/Objection_CounterMotion_ProposedOrder.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/CERTIFICATE_OF_SERVICE_APRIL_16_2025.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/CERTIFICATE_OF_SERVICE_LEAVE_TO_FILE_EXHIBITS_APRIL_16_2025.txt,MEEK2,custody_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/COVER_LETTER_TO_CLERK_JUDGE_APRIL_16_2025.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/DECLARATION IN SUPPORT OF MOTION TO CORRECT SUPPORT WITHHOLDING AND ENFORCE FINAL ORDER.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/DECLARATION_SUPPORT_EX_PARTE_MOTION_APRIL_16_2025.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/EMERGENCY MOTION FOR EX PARTE TEMPORARY PARENTING TIME ORDER.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/EMERGENCY_EX_PARTE_MOTION_APRIL_16_202511.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/EX PARTE MOTION FOR IMMEDIATE ENFORCEMENT OF PARENTING TIME AND TEMPORARY MODIFICATION.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/EXHIBIT B  DECLARATION OF HARM LINCOLN DAVID WATSON.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/EXHIBIT_INDEX_EX_PARTE_MOTION_APRIL_16_2025.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/FILING COVERSHEET DE NOVO HEARING EXHIBIT PACKAGE.txt,MEEK1,housing_violation
