file,cases,dates,kind
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0046.pdf,,"2024-06-01,2024-09-11,2024-09-18,2024-09-25,2024-10-02,2024-10-04",unknown
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0044.pdf,2024-001507-DC,2024-06-05,service
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0043.pdf,2024-001507-DC,"2024-04-29,2024-06-05",notice
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0040.pdf,2024-001507-DC,2024-08-16,order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0028.pdf,2024-001507-DC,2025-04-25,service
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0025.pdf,2024-001507-DC,2025-03-28,service
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0026.pdf,,"2024-04-08,2024-05-06,2024-05-07",order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0023.pdf,2024-001507-DC,2025-03-26,order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0024.pdf,2024-001507-DC,2025-03-26,order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0022.pdf,2024-001507-DC,2025-03-26,order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0020.pdf,2024-001507-DC,2025-03-26,notice
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0021.pdf,2024-001507-DC,2025-03-26,order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0018.pdf,2024-001507-DC,2025-03-26,service
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0019.pdf,2024-001507-DC,2025-03-26,notice
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0016.pdf,2024-001507-DC,"2025-02-07,2025-03-26",order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0017.pdf,2024-001507-DC,"2024-08-23,2025-03-26",order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0014.pdf,2024-001507-DC,"2025-01-02,2025-03-26",order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0015.pdf,2024-001507-DC,"2025-01-15,2025-01-16,2025-01-22,2025-01-24,2025-01-28,2025-01-30,2025-02-05,2025-03-26",order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0012.pdf,2024-001507-DC,2025-03-26,order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0013.pdf,2024-001507-DC,2024-08-23,order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0011.pdf,2024-001507-DC,2025-03-26,order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0009.pdf,2024-001507-DC,2025-03-26,order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0010.pdf,2024-001507-DC,2025-03-26,order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0007.pdf,2024-001507-DC,2025-03-26,notice
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0008.pdf,2024-001507-DC,2025-03-26,notice
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0005.pdf,2024-001507-DC,"2024-08-23,2025-03-26",order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0006.pdf,2024-001507-DC,2025-03-26,service
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0003.pdf,2024-001507-DC,"2025-01-15,2025-01-16,2025-01-22,2025-01-24,2025-01-28,2025-01-30,2025-02-05,2025-03-26",order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0004.pdf,2024-001507-DC,"2025-02-07,2025-03-26",order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0001.pdf,2024-001507-DC,2024-08-23,order_related
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0002.pdf,2024-001507-DC,"2025-01-02,2025-03-26",order_related
scanned_300/SCANNEDhealthwest1stscanned_0002/healthwest1stscanned_0002.pdf,,"2025-05-19,2025-09-04,2025-09-05",unknown
scanned_300/SCANNEDhealthwest1stscanned_0002/healthwest1stscanned_0050.pdf,,2025-09-05,unknown
scanned_300/SCANNEDhealthwest1stscanned_0002/healthwest1stscanned_0049.pdf,,2025-09-05,unknown
