file,page,sentence,hits
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0068.pdf,1,"jT IS 'FURaTH-E RORD.ERE5 that i)efendant's Att5rney 5f f%eord shall recalqulate child support and shall prepare a Urifform Ch((d !5upport Orderwith an effective'date (s rJuj'y 17, 2024, base@ uy5b nthe follTh#il7 gmodiflgati.on sg:.h,ildcare experises set at zero dollars; Defensdant"" smonthl.y iricome shali ba ethe same amount; Defendant shall claim the minor -child 6n her ariy""iga lt@x.e ,a@s plainfifj is .unemployed; [)efffindant shall be given credit Fo rher 6thermirior 6hild; ,Defendant shal i b.e identified eis hea6aof hous'e'h61d ;Pla!ntif's'monjhly incpme.shall De calqulatea as $21'l5,00 per morith fro.m self-ernpJoyrnent :Plaintiff shall be""im6ntifi6d as filing his taxes as sin'gle, IT IS FUR:THER ORDgFa) that the parties ghal keep eacn other informed of th'e name aria address of his or her c'urrerit source pf'incorn@ @nd @ fany health care coverage that i- savailable to him or her as..a Beriefit.of e.mplo.yrnen tor that f's maintairied by him or her; the name of the insurance corr)pamy ,5ealth :care organ(zation, or,hea)th mainteriance 'organizati'on ;the policy, certifteate or co'ntract number; and the names atrd ,5irt5 d@t'e softpe persons for whes@ 5ene.fi the or she m",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0069.pdf,1,"IT 18 FURTHER ORppBEp t:h,4tyyliqh@itlqer;p@rty'90ttm sor loses eriiploymerit or obtairis a.substahtially greater.arlesser.wage or'salaryfr:om his or her present or future empioyment, they shal notifythe M,u,skego nCounty Friend ofthe Courfwithiti ten (10) d!a.y sin ord'er tji@ ttti@ amgu'n teif-supportii:pay be adjusted accordingly, in theevent that a formal child sup'pot oblJ,gafio npayable ttirough the Friend of the Court t,as bee'n, estatitished or exists at qny such releVffnt ti'me.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0069.pdf,1,"fthe Coun within twemy-she (21, )aays of any changei'ef address so Igng @ sthis ,lqdgrnent of-Oustb.d.y ,Pareriting Time,.a5d Chilei Support remains5perative.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0066.pdf,1,"The Court is :sp,e<,iff@ally-referensing.th ePPO,.the .pOiiQ eEepQrt Sai nd the:testimony reg'ardirlg Plaihtiff!Father having a oamera that he intended to.send 'to Defehdaanf's/Mqther's 'home i1qabag%omonitortheactiritipsatD'efendant'e/MotFier'sl'ro'rrie, This'FaGtorfavors Defend'a'nt/Mother 1.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0059.pdf,1,"IT IS FURTHER ORDERED that when either party secures or loses employment or obtains a substantially greater or lesser wage or salary from his or her present or future employment, they shall notify the Muskegon County Friend of the Court within ten (10) days in order that the amount of support may be adjusted accordingly, in the event that a formal child support obligaUon payable thmugh the Frtend of the Court has been established or exists at any such relevant time.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0059.pdf,1,"IT IS FIIRTHER ORDERED that both Plaintfff and Ddendant shall notify one another and the Office of the Frtend ofthe Court within twenty-one (21 )days of any change of address so long as this Judgment of Custody, Parenting Time, and Child Support remains operaUve.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0060.pdf,1,"IT IS FURTHER ORDERED that Defendant's Attomey of Reoord shall recalculate ehild support and shall prepare a Uniform Child Support Omer with an effective date of July 17, 2024, based upon the follomng modifications: chifdcare expenses set at zem doiiars; Defendard's monthly income shall be the same amount; Defendant ' !-*p Defendant shall be given credit for her other minor child; Defendant shall be identffled as head of household; Plainttffs monthly inoome shall be calculated as $2,115.00 per month from self-employment; Plaintiff shall be identified u IT IS FURTHER ORDERED that the parties shall keep each other informed of the name and address of his or hercurnam soume of inoome and of any health care mverage that is available to him or her as a benefit of employment or that is maintained by him or her; the name of the insuranoe oompany, health care organizaUon, or heatth maintenanm organization: the policy, certificate or contract number, and the names and birth dates ofthe persons forwhose benefit he orshe maintains health care ooverage underthe policy, mrtfflzte or oontract.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0060.pdf,1,"IT IS FURTHER ORDERED that all health >re sen4ces induding, bid not limited to, orthodontia, optical, and prescripfion expenses of the minor diild which are not wvered by insuranoe, incfuding those medical bills accumulated to date, shall be paid pursuant to the uninsured medical oost peroentages outlined in the attadied Unfform Child Support Order.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0057.pdf,1,"IT IS FURTHER ORDERED that Defendant's Objection to the Ex Parte Order for Custody, Parenting Time, and Child Support Following Facilitative Information Gathering Conference regarding the child support calculations is granted.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0057.pdf,1,"IT IS FURTHER ORDERED that Defendant's Attorney of Record shall recalculate child support utilizing the following modifications: for the child support calculations and corresponding Uniform Child Support Order effective May 3, 2024,6a base udpo nthe Michig aCnhH Sduppo Frtormu Dlaeviatio nssp,ecffica 1ll.y04iE% l9a)s, 'Uie amount calculated does not exceed $20, and the adminmtrative oomto enforoe and pmmss payments outweighs the beneffi ofthe minimal amounts.' Page 10 of 14 %ors v Witson Judg@xm € Cumxly, PT, CS 20MO1SO7-DC",ppo
