kind,citation,count
MCR,MCR2.107,185
MCR,MCR1.109(D)(3),129
MCR,MCR1.109(G)(6)(A),117
MCR,MCR7.212(B),115
MCR,MCR2.105,105
MCR,MCR2.407,84
MCR,MCR2.302(C),83
MCR,MCR2.119,71
MCR,MCR1.109(D),58
MCR,MCR2.002,57
MCR,MCR2.116,56
MCR,MCR2.107(C)(4),53
MCR,MCR2.402,50
MCR,MCR3.002(6),50
MCR,MCR2.302(A),49
MCR,MCR2.310,48
MCR,MCR1.109,46
MCR,MCR3.604,46
MCR,MCR7.101,45
MCR,MCR3.907,43
MCR,MCR3.203,41
MCR,MCR2.107(C)(1),40
MCR,MCR2.302(B),40
MCR,MCR3.971,40
MCR,MCR3.920,39
MCR,MCR2.603,38
MCR,MCR3.216,38
MCR,MCR3.965,38
MCR,MCR1.109(E),36
MCR,MCR3.921,36
MCR,MCR2.403,34
MCR,MCR3.206(C),33
MCR,MCR8.119(I),33
MCR,MCR9.121,33
MCR,MCR2.118,32
MCR,MCR3.967,32
MCR,MCR7.206,31
MCR,MCR2.412,30
MCR,MCR6.201(A),30
MCR,MCR2.401,29
MCR,MCR2.508,29
MCR,MCR2.612,29
MCR,MCR3.975,29
MCR,MCR8.110(D)(2),29
MCR,MCR3.972,28
MCR,MCR7.204,28
MCR,MCR8.119,28
MCR,MCR2.105(J),27
MCR,MCR2.209,27
MCR,MCR2.411,27
MCR,MCR9.118,27
MCR,MCR2.113,26
MCR,MCR2.117(B)(2)(C),26
MCR,MCR2.003,25
MCR,MCR2.102(A),25
MCR,MCR2.410,25
MCR,MCR3.002,25
MCR,MCR1.109(G),24
MCR,MCR2.602(B)(3),24
MCR,MCR5.125(A)(8),24
MCL,MCL712A,24
MCL,MCL691.1345,5
MCL,MCL712B,5
MCL,MCL780.751,5
MCL,MCL257.323(1),4
MCL,MCL15.231,3
MCL,MCL28.425D,3
MCL,MCL600.2301,3
MCL,MCL700.3952,3
MCL,MCL722.821,3
MCL,MCL24.201,2
MCL,MCL600.1701,2
MCL,MCL600.1711,2
MCL,MCL600.2529(4),2
MCL,MCL600.2605,2
MCL,MCL600.2912C,2
MCL,MCL600.8371(6),2
MCL,MCL600.8411,2
MCL,MCL691.1801,2
MCL,MCL710.29,2
MCL,MCL710.51(6),2
MCL,MCL722.622(G),2
MCL,MCL791.236,2
MCL,MCL125.3606,1
MCL,MCL168.47,1
MCL,MCL24.303(1),1
MCL,MCL257.32,1
MCL,MCL257.323(2),1
MCL,MCL257.323(4),1
MCL,MCL257.625F,1
MCL,MCL28.243,1
MCL,MCL28.247,1
MCL,MCL333.2864,1
MCL,MCL400.203,1
MCL,MCL421.1,1
MCL,MCL445.870,1
MCL,MCL552.605,1
MCL,MCL552.9F,1
MCL,MCL6,1
MCL,MCL600,1
MCL,MCL600.1986(1)(A),1
MCL,MCL600.2591,1
MCL,MCL600.2912D,1
MCL,MCL600.2950(22),1
MCL,MCL600.4012,1
MCL,MCL600.5714(1)(B),1
MCL,MCL600.5735,1
MCL,MCL600.5735(2),1
MCL,MCL600.6119,1
MCL,MCL600.867,1
MCL,MCL600.8717(4),1
MCL,MCL691.13,1
MCL,MCL691.1335(4)(B)(I),1
MCL,MCL691.1339,1
MCL,MCL691.1803,1
MCL,MCL691.1815,1
MCL,MCL700.2515,1
MCL,MCL700.3306(2),1
MCL,MCL700.3705,1
MCL,MCL700.3951(3),1
MRE,MRE615,1
