src,dst,relation,weight,notes
MCR-1.101@2025-05-01,MCR-3.977@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.961-3@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.508-2@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-6.610@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.993@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.716@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-8.122@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-5.158@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.511@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.211@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.206@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.967@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.605@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.931@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.102@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.208@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-1.111@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-8.110@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.104@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-1.109@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-6.001-6@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.209@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.972@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-9.123@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.625@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.116@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.204@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-4.002@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-9.119@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-6.006@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-8.204@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-4.101@2025-05-01,cross_refs,1,auto-cite
