anchor_kind,anchor_token,count
MCR,MCR 1.109,69
MCR,MCR 2.107,50
MRE,MRE 404,44
MRE,MRE 403,36
MCR,MCR 2.302,32
MCR,MCR 2.105,26
MCR,MCR 2.407,23
MCR,MCR 7.212,21
MCR,MCR 2.119,20
MCL,MCL 712A.2,20
MRE,MRE 702,18
MCR,MCR 7.104,17
MCR,MCR 8.119,16
MCR,MCR 2.002,14
MCR,MCR 2.313,14
MCR,MCR 3.002,14
MCR,MCR 3.604,13
MCR,MCR 2.401,13
MCR,MCR 3.903,12
MCL,MCL 768.27b,12
MCR,MCR 2.106,11
MCR,MCR 3.993,11
MCR,MCR 3.935,11
MCR,MCR 3.920,11
MCR,MCR 6.006,11
MCR,MCR 9.115,11
MRE,MRE 611,11
MCL,MCL 768.27a,11
MCR,MCR 2.102,10
MCR,MCR 2.402,10
MCR,MCR 3.921,10
MCR,MCR 8.110,10
MCR,MCR 7.204,10
MCR,MCR 7.305,10
MRE,MRE 804,10
MRE,MRE 401,10
MRE,MRE 608,10
MCR,MCR 2.603,9
MCR,MCR 2.306,9
MCR,MCR 2.602,9
MCR,MCR 6.425,9
MCR,MCR 3.907,9
MCR,MCR 7.205,9
MCR,MCR 9.118,9
MCR,MCR 2.116,8
MCR,"MCR
              2.302",8
MCL,MCL 712A.18,8
MCR,MCR 3.974,8
MCR,MCR 7.101,8
MCR,MCR 7.211,8
MCR,MCR 7.105,8
MCR,MCR 9.121,8
MRE,MRE 402,8
MCR,"MCR
              1.109",7
MCR,MCR 2.305,7
MCR,MCR 2.412,7
MCR,MCR 2.612,7
MCR,MCR 7.208,7
MCL,MCL 712B.7,7
MCR,MCR 3.203,7
MCR,MCR 3.967,7
MCR,MCR 3.963,7
MCR,MCR 6.201,7
MRE,MRE 901,7
MRE,MRE 410,7
MRE,MRE 609,7
MRE,MRE 801,7
MCL,MCL 552.2101,6
MCR,MCR 2.625,6
MCR,MCR 2.103,6
MCR,MCR 2.118,6
MCR,MCR 2.604,6
MCR,"MCR
              2.107",6
MCR,MCR 2.310,6
MCR,MCR 2.506,6
MCR,MCR 2.504,6
MCR,MCR 2.411,6
MCR,MCR 3.216,6
MCL,MCL 712B.3,6
MCL,MCL 600.4012,6
MCR,MCR 3.206,6
MCL,MCL 600.2950,6
MCL,MCL 600.5714,6
MCL,MCL 700.7103,6
MCR,MCR 5.125,6
MCR,MCR 7.210,6
MCR,MCR 9.122,6
MRE,MRE 104,6
MRE,MRE 803,6
MCL,MCL 750.520j,6
MCL,MCL 600.2955,6
MCR,MCR 8.117,5
MCR,MCR 2.117,5
MCR,MCR 2.104,5
MCR,MCR 2.113,5
MCR,MCR 7.215,5
MCR,MCR 2.309,5
MCR,MCR 2.410,5
MCR,MCR 2.003,5
MCR,MCR 3.210,5
MCR,MCR 8.112,5
MCL,MCL 712B.1,5
MCR,MCR 3.211,5
MCR,MCR 3.606,5
MCR,MCR 7.206,5
MCR,MCR 3.205,5
MCL,MCL 712B.13,5
MCL,MCL 722.631,5
MCL,MCL 780.751,5
MCR,MCR 3.972,5
MCR,MCR 8.108,5
MCL,MCL 712A.19b,5
MCR,MCR 3.973,5
MCR,MCR 3.975,5
MCL,MCL 769.1,5
MCR,MCR 6.610,5
MCR,MCR 7.312,5
MCL,MCL 780.151,4
MCR,"MCR
         1.109",4
MCR,MCR 2.209,4
MCR,MCR 2.201,4
MCR,MCR 2.311,4
MCR,MCR 2.403,4
MCR,MCR 2.501,4
MCR,MCR 4.201,4
MCR,MCR 7.202,4
MCR,MCR 7.108,4
USC,25 USC 1901,4
MCL,MCL 712A.17d,4
MCL,MCL 552.9f,4
MCR,MCR 7.306,4
MCL,MCL 600.2950a,4
MCR,MCR 3.718,4
MCL,MCL 691.1815,4
MCR,MCR 3.802,4
MCL,MCL 712A.1,4
MCL,MCL 722.821,4
MCL,MCL 712A.19a,4
MCL,MCL 750.520b,4
MCR,MCR 3.922,4
MCR,MCR 3.905,4
MCL,MCL 257.321a,4
MCL,MCL 764.1f,4
MCR,MCR 3.936,4
MCL,MCL 803.223,4
MCR,MCR 3.965,4
MCL,MCL 712B.23,4
MCR,MCR 1.108,4
MCL,MCL 700.3982,4
MCR,MCR 5.105,4
MCR,MCR 6.310,4
MCL,MCL 600.2163a,4
MCR,MCR 7.111,4
MCR,MCR 7.319,4
MCL,MCL 168.46,4
MCL,MCL 168.845a,4
MCR,MCR 9.126,4
MCR,MCR 9.112,4
MCR,MCR 9.223,4
MRE,MRE 407,4
MRE,MRE 105,4
MRE,MRE 405,4
MCL,MCL 768.27,4
MCR,MCR 6.202,4
MCL,MCL 763.8,4
MCR,MCR 2.518,3
MCL,MCL 600.2529,3
MCL,MCL 700.5104,3
MCL,MCL 600.701,3
MCR,MCR 2.503,3
MCR,MCR 2.111,3
MCR,MCR 2.203,3
MCR,MCR 2.301,3
MCR,MCR 2.308,3
MCR,MCR 2.315,3
MCR,"MCR
                   2.105",3
MCR,"MCR
              2.003",3
MCR,MCR 2.508,3
MCR,MCR 2.614,3
MCR,MCR 3.101,3
MCR,MCR 3.222,3
MCL,MCL 722.1101,3
MCR,MCR 3.310,3
MCL,MCL 600.1701,3
MCR,MCR 2.408,3
MCL,MCL 691.1345,3
MCR,MCR 3.981,3
MCL,MCL 691.1801,3
MCL,MCL 764.15b,3
MCL,MCL 691.1807,3
MCL,MCL 28.428,3
MCL,MCL 691.1809,3
MCL,MCL 712B.5,3
MCR,MCR 3.931,3
MCR,MCR 3.943,3
MCL,MCL 712A.19c,3
MCR,MCR 3.971,3
MCL,MCL 333.7401,3
MCR,MCR 3.932,3
MCR,MCR 3.950,3
MCR,MCR 3.911,3
MCL,MCL 768.21,3
MCL,MCL 712A.17b,3
MCL,MCL 803.301,3
MCL,MCL 257.732,3
MCR,MCR 3.915,3
MCL,MCL 712A.11,3
MCL,MCL 803.225,3
MCL,MCL 712A.18f,3
MCL,MCL 600.5735,3
MCL,MCL 600.5741,3
MCL,MCL 700.1208,3
MCL,MCL 700.3952,3
MCL,MCL 700.3953,3
MCL,MCL 24.401,3
MCR,MCR 5.313,3
MCR,MCR 5.310,3
MCR,"MCR
              5.109",3
MCR,MCR 6.001,3
MCR,MCR 6.102,3
MCR,MCR 7.109,3
MCR,"MCR
              7.104",3
MCR,"MCR
              7.212",3
MCR,MCR 7.209,3
MCR,MCR 7.313,3
MCR,MCR 9.250,3
MCR,MCR 7.311,3
MCR,MCR 9.124,3
MCR,MCR 9.114,3
MCL,MCL 600.2161,3
MCR,MCR 9.241,3
MRE,MRE 103,3
MRE,MRE 703,3
MCR,MCR 2.513,3
MRE,MRE 408,3
MRE,MRE 411,3
MCR,"MCR
              6.201",3
MCL,MCL 767.40a,3
MRE,MRE 613,3
MCL,MCL 600.2169,3
MCL,MCL 600.2164,3
MCR,MCR 8.122,2
MCR,MCR 3.930,2
MCR,"MCR
                   8.119",2
MCR,"MCR
         8.119",2
MCL,MCL 600.1986,2
MCL,MCL 600.8371,2
MCR,"MCR
                   1.109",2
MCR,MCR 2.115,2
MCL,MCL 600.2912d,2
MCL,MCL 600.8031,2
MCR,"MCR
              2.116",2
MCR,"MCR
              2.117",2
MCR,MCR 2.108,2
MCR,MCR 2.505,2
MCR,MCR 2.205,2
MCR,MCR 3.501,2
MCR,MCR 2.314,2
MCL,MCL 500.3101,2
MCR,MCR 3.303,2
MCR,MCR 2.303,2
MCR,"MCR
              2.403",2
MCR,MCR 3.970,2
MRE,MRE 706,2
USC,11 USC 101,2
MCR,MCR 9.119,2
MCR,MCR 2.420,2
MCR,MCR 2.517,2
MCR,MCR 5.740,2
MCR,MCR 2.611,2
MCL,MCL 600.2405,2
MCL,MCL 712A.13a,2
MCL,MCL 722.111,2
MCL,MCL 330.1600,2
MCL,MCL 712B.21,2
USC,15 USC 1673,2
MCR,MCR 2.207,2
MCL,MCL 600.6201,2
MCL,MCL 722.1491,2
MCL,MCL 552.505,2
MCL,MCL 722.26b,2
MCL,MCL 552.501,2
MCL,MCL 552.601,2
MCR,"MCR
              2.408",2
USC,42 USC 651,2
MCR,"MCR
         2.410",2
MCL,MCL 722.1501,2
MCL,MCL 722.1499,2
MCR,"MCR
         2.105",2
MCR,MCR 3.709,2
MCL,MCL 28.601,2
MCR,MCR 6.106,2
MCL,MCL 765.6b,2
MCL,MCL 600.1715,2
MCR,MCR 3.716,2
MCL,MCL 691.1803,2
MCR,MCR 3.720,2
MCR,MCR 3.719,2
MCL,MCL 691.1818,2
MCL,MCL 710.51,2
MCL,MCL 710.29,2
MCL,MCL 710.44,2
MCR,MCR 3.800,2
MCL,"MCL
                   712B.7",2
MCR,MCR 3.961,2
MCL,MCL 28.243,2
MCL,MCL 700.5204,2
MCL,MCL 700.5202,2
MCR,MCR 3.977,2
MCL,MCL 750.72,2
MCL,MCL 750.83,2
MCL,MCL 750.86,2
MCL,MCL 750.89,2
MCL,MCL 750.91,2
MCL,MCL 750.316,2
MCL,MCL 750.317,2
MCL,MCL 750.349,2
MCL,MCL 750.529,2
MCL,MCL 750.529a,2
MCL,MCL 750.531,2
MCR,MCR 3.985,2
MCL,MCL 750.84,2
MCL,MCL 712A.2d,2
MCL,MCL 750.110a,2
MCL,MCL 750.186a,2
MCR,MCR 3.912,2
MCR,MCR 3.937,2
MCR,"MCR
              3.961",2
MCR,"MCR
              3.977",2
MCR,MCR 3.982,2
MCL,MCL 780.781,2
MCL,MCL 780.786b,2
MCL,MCL 712A.15,2
MCL,MCL 780.789,2
MCL,MCL 712A.18a,2
MCL,"MCL
                   712A.2",2
MCR,MCR 3.941,2
MCR,MCR 3.944,2
MCL,MCL 712A.4,2
MCL,"MCL
         712A.18",2
MCL,MCL 722.622,2
MCL,MCL 722.638,2
MCR,"MCR
              3.965",2
MCR,MCR 3.923,2
MCR,"MCR
              3.993",2
MCR,MCR 3.976,2
USC,25 USC 1912,2
MCL,MCL 712B.17,2
MCR,MCR 3.978,2
MCL,MCL 600.5701,2
MCR,MCR 2.223,2
MCL,"MCL
                    600.5747",2
MCL,MCL 600.5739,2
MCR,MCR 4.002,2
MCL,MCL 700.2515,2
MCL,MCL 700.1309,2
MCL,MCL 700.3205,2
MCL,"MCL
                   700.7103",2
MCL,MCL 700.7605,2
MCR,MCR 5.311,2
MCL,MCL 700.7603,2
MCL,MCL 700.5301,2
MCL,MCL 700.3983,2
MCR,MCR 5.203,2
MCL,MCL 700.3954,2
MCR,MCR 5.404,2
MCR,MCR 5.402,2
MCL,MCL 330.1511,2
MCR,MCR 6.103,2
MCR,MCR 8.111,2
MCR,MCR 6.113,2
MCR,MCR 6.120,2
MCR,MCR 6.302,2
MCL,MCL 771.2,2
MCR,MCR 6.005,2
MCR,MCR 6.403,2
MCR,MCR 6.506,2
MCR,MCR 6.502,2
MCL,MCL 333.7403,2
MCR,MCR 6.903,2
MCL,MCL 769.1b,2
MCR,MCR 6.110,2
MCL,MCL 24.201,2
MCL,MCL 600.2631,2
MCR,MCR 7.216,2
MCL,MCL 600.2441,2
MCR,MCR 7.114,2
MCR,MCR 7.119,2
MCL,MCL 791.236,2
MCR,MCR 7.115,2
MCR,"MCR
                   7.104",2
MCL,MCL 257.323,2
MCR,"MCR
              7.111",2
MCR,MCR 7.123,2
MCL,MCL 125.3606,2
MCR,MCR 7.301,2
MCR,MCR 6.419,2
MCR,MCR 7.207,2
MCL,MCL 500.3036,2
USC,26 USC 501,2
MCR,MCR 7.219,2
MCL,MCL 168.47,2
MCL,MCL 780.623,2
MCR,MCR 1.111,2
MCR,MCR 2.615,2
MCR,"MCR
             9.113",2
MCR,MCR 8.126,2
MCR,MCR 9.120,2
MCR,MCR 9.116,2
MCR,MCR 9.104,2
MCR,MCR 9.113,2
MRE,MRE 615,2
MCR,MCR 9.123,2
MCR,MCR 9.220,2
MCR,"MCR
             2.313",2
MCR,MCR 9.224,2
MCR,MCR 9.301,2
MRE,MRE 101,2
MRE,MRE 802,2
MRE,MRE 201,2
MRE,MRE 302,2
MCL,MCL 600.2157,2
MCL,MCL 330.1750,2
MRE,MRE 607,2
MCL,MCL 750.448,2
MRE,"MRE
                         404",2
MCL,MCL 750.462h,2
MCL,"MCL
                         768.27b",2
MRE,MRE 601,2
MCL,MCL 600.2164a,2
MCL,MCL 768.29,2
MCR,MCR 3.207,2
MRE,MRE 806,2
MRE,MRE 707,2
MRE,MRE 701,2
MCL,MCL 600.2552,2
MCR,"MCR
              6.001",2
MCR,MCR 1.101,1
MCR,"MCR
              8.119",1
MCR,"MCR
                         1.109",1
MCL,MCL 8.3q,1
MCR,"MCR
                        1.109",1
MCR,"MCR
                          8.119",1
MCR,"MCR
                        2.107",1
MCL,MCL 600.857,1
MCL,MCL 600.878,1
MCL,MCL 600.880,1
MCL,MCL 600.880a,1
MCL,MCL 600.880b,1
MCL,MCL 600.880c,1
MCL,MCL 600.1027,1
MCL,MCL 600.5756,1
MCL,MCL 600.8420,1
MCL,MCL 700.2517,1
MCL,MCL 722.717,1
MCL,MCL 600.2963,1
MCL,MCL 600.5701-600.5759,1
MCL,MCL 450.4102,1
MCR,"MCR
                   2.107",1
MCL,"MCL
              600.2912d",1
