Filename,Full Path,Size (bytes),Size (MB),Pages,Document Type,Modified Date,Text Preview (first 100 chars)
NoReply_20241026_111059.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20241026_111059.pdf,3300599,3.15,62,Unknown,2026-03-06 11:47:02.844827,
NoReply_20250703_115143_0002.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0002.pdf,57206,0.05,1,Complaint,2025-07-22 12:10:54,Original  - Court  file Ist  copy - Assignment  derk/Extra   3rd Cat)'l  - OPPOSing PartY 2nd copy -
NoReply_20250703_115143_0008.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0008.pdf,102244,0.10,1,Complaint,2025-07-22 11:52:26,"Court address 990 Terrace st., Suite 100 Muskegon,  M[  49442-3377 Ci  fi Court  telephone  no. (231"
NoReply_20250703_115143_0013.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0013.pdf,37867,0.04,1,Complaint,2025-07-22 11:54:34,3.  Counter-Plaintiff  rei'ited real property  to Counter-Defendant(s)  that is subject  to this Com
NoReply_20250703_115143_0014.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0014.pdf,20116,0.02,1,Complaint,2025-07-22 11:55:00,14. Counter-Defendant(s)  actions  as described  in t)iis Complaint  constitute  a breacl'i of  t)ie
NoReply_20250703_115143_0017.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0017.pdf,26518,0.03,1,Complaint,2025-07-22 11:56:24,1.  Shady Oaks denies tlie allegations  contained  in Paragraph  of  Plaintiffs  Motion  for the rea
NoReply_20250703_115143_0020.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0020.pdf,32628,0.03,1,Complaint,2025-07-22 11:57:08,"ST  ATE  OF M}CHIGAN IN THE  60""'  DTSTRJCT  COURT ANDREW  PIGORS Plaintiff/Coui'iter-Defendant, Fil"
NoReply_20250703_115143_0021.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0021.pdf,76149,0.07,1,Complaint,2025-07-22 11:57:32,"ST  ATE  OF  MICHIGAN IN  THE  Mth  nT!TIuCT  l'nTTu! ANDREW  PIGORS Plaintiff/Counter  Defendant, V"
NoReply_20250703_115143_0025.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0025.pdf,22445,0.02,1,Complaint,2025-07-22 11:58:02,ST  ATE  OF  MICHIGAN IN  THE  60TH  DISTRICT  COURT ANDREW  PIGORS  & ALL OTHER  OCCUP  ANTS Plaint
NoReply_20250703_115143_0029.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0029.pdf,100623,0.10,1,Complaint,2025-07-22 11:58:54,"ST  ATE  OF MICHIGAN IN  THE  60""'  DISTRICT  COURT ANDREW  RIGORS File  No.  25186592GC Plaintiff/C"
