"Extension","Count","SizeMB"
"(none)","246353","48276.2"
".pyi","110912","255.9"
".py","95070","1529.9"
".js","89073","2809"
".csv","69498","6185.7"
".pyc","48295","637.2"
".txt","36935","4649.8"
".json","29876","8908.8"
".ts","25748","343.5"
".md","25017","371.6"
".h","22749","104.8"
".html","18496","12936.8"
".java","18168","186.2"
".class","16618","52.2"
".map","15119","649.6"
".pdf","10482","8992.8"
".dll","9267","1802.9"
".docx","6038","884.4"
".jsonl","5622","4033"
".ps1","5241","35.4"
".svelte","4813","2.7"
".png","3892","510.2"
".mjs","3347","54.1"
".cs","3027","60.3"
".svg","2648","15.7"
".rst","2577","46.7"
".css","2487","118.3"
".cjs","2298","50.5"
".tsx","2191","14.9"
".yaml","2191","7.2"
".zip","2075","92797"
".yml","2026","25.2"
".webp","1997","30.9"
".toml","1976","1"
".pyd","1904","878.5"
".jpg","1886","5346.2"
".rs","1667","16.9"
".htm","1643","30.5"
".jar","1593","2706.7"
".cypher","1442","3.6"
".xml","1405","202.3"
".cpp","1322","99.6"
".cmd","1272","0.9"
".pak","1165","924.7"
".msg","1069","1.4"
".qml","920","3.9"
".dectest","897","22.5"
".bat","866","0.8"
".ttf","830","95.3"
".test","822","1.5"
".sh","781","12.1"
".pm","755","9.2"
".scss","754","1.9"
".lombok","745","3.4"
".woff2","713","96.8"
".flow","595","2.2"
".gz","570","218.9"
".scm","564","0.4"
".woff","523","11.4"
".mdx","500","3.4"
".wasm","482","683.7"
".snap","476","0.3"
".sample","470","1"
".tcl","466","5.1"
".config","461","1.6"
".bin","453","331.2"
".properties","446","3"
".vsixmanifest","438","1.2"
".sql","419","1"
".tmvx","417","26"
".enc","410","7.6"
".odt","409","15.5"
".proto","384","2"
".3pm","374","4.4"
".cts","363","1"
".psd1","360","4.4"
".ftl","360","7.4"
".cc","358","2.8"
".exe","355","2246.5"
".wav","349","121.8"
".rtf","345","17.7"
".bcmap","335","2.2"
".resx","327","3.2"
".ini","314","3.7"
".dot","300","4.9"
".qm","299","14.5"
".c","296","64"
".hpp","272","3"
".mp4","270","18043.3"
".typed","268","0"
".pmvx","258","3.6"
".eot","254","8.7"
".zdct","251","0.6"
".jsx","227","1.2"
".xlsx","226","13.2"
".mts","226","1.1"
".template","221","0.1"
".log","221","7.4"
".gitignore","221","0.1"
".xlf","216","2.1"
".spec","211","0.2"
".tpl","204","1.3"
".vue","198","1"
".docx#","198","0"
".dat","195","380.6"
".pod","194","5.6"
".pyx","194","6.3"
".MF","190","2.7"
".pem","189","15.9"
".xsd","186","1.9"
".xaml","181","1.3"
".a","179","6.7"
".tmLanguage","175","3.8"
".aspx","174","69.6"
".sqlite","174","1031.4"
".pdb","172","19.6"
".pxd","172","1.2"
".nsh","162","1.4"
".psm1","162","5.7"
".f90","154","0.1"
".cfg","152","0.1"
".lib","149","49.1"
".ipynb","148","5.7"
".download","145","8.8"
".lcl","140","5.1"
".eml","132","5.5"
".mui","124","3.5"
".lock","122","13.1"
".gif","119","57.7"
".so","117","133.9"
".eslintrc","114","0"
".cuh","112","1.3"
".Crwl","112","0"
".mat","110","0.1"
".plist","109","2.5"
".bash_history","109","2"
".mustache","108","0.1"
".db","108","48003"
".cmake","103","0.7"
".slint","103","0.6"
".qmltypes","101","4.3"
".toc","101","4.4"
".jpeg","100","44.7"
".lnk","97","0.1"
".nsi","93","0.6"
".asc","89","0.3"
".mmd","85","0.1"
".csproj","85","0.2"
".aco","84","2.5"
".node","83","329.5"
".jst","81","0.2"
".ps1xml","78","1.7"
".vsdconfig","77","0.3"
".BSD","73","0.1"
".db-shm","71","2.5"
".nycrc","71","0"
".APACHE","70","0.7"
".upc","69","0.1"
".nlf","67","0.4"
".fst","63","0.2"
